 Total battles: 1385030
 Avg. weight/team: 0.02
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 46.96004% | 944923 | 34.112% | 816710 | 37.301% | 
 | 2    | Ferrothorn         | 23.89609% | 584365 | 21.096% | 505826 | 23.102% | 
 | 3    | Heatran            | 21.53220% | 421900 | 15.231% | 349391 | 15.957% | 
 | 4    | Garchomp           | 18.99226% | 442199 | 15.964% | 350813 | 16.022% | 
 | 5    | Weavile            | 18.70891% | 384283 | 13.873% | 294669 | 13.458% | 
 | 6    | Dragapult          | 18.46001% | 502796 | 18.151% | 379565 | 17.335% | 
 | 7    | Kartana            | 18.31539% | 437549 | 15.796% | 329327 | 15.041% | 
 | 8    | Tornadus-Therian   | 15.89327% | 256820 |  9.271% | 207644 |  9.483% | 
 | 9    | Melmetal           | 15.62784% | 313898 | 11.332% | 252357 | 11.526% | 
 | 10   | Zapdos             | 15.39809% | 303094 | 10.942% | 250509 | 11.441% | 
 | 11   | Clefable           | 14.61647% | 284399 | 10.267% | 220016 | 10.049% | 
 | 12   | Tapu Lele          | 14.37513% | 289729 | 10.459% | 225103 | 10.281% | 
 | 13   | Toxapex            | 14.10845% | 312444 | 11.279% | 252485 | 11.531% | 
 | 14   | Corviknight        | 13.53017% | 345850 | 12.485% | 280914 | 12.830% | 
 | 15   | Urshifu-Rapid-Strike | 12.38847% | 318468 | 11.497% | 251685 | 11.495% | 
 | 16   | Tapu Fini          | 12.29584% | 309551 | 11.175% | 260334 | 11.890% | 
 | 17   | Tapu Koko          | 11.71848% | 255017 |  9.206% | 210081 |  9.595% | 
 | 18   | Buzzwole           | 11.23539% | 199831 |  7.214% | 159468 |  7.283% | 
 | 19   | Tyranitar          |  9.44091% | 219019 |  7.907% | 181858 |  8.306% | 
 | 20   | Rillaboom          |  9.04475% | 286698 | 10.350% | 221214 | 10.103% | 
 | 21   | Slowbro            |  8.51064% | 197601 |  7.133% | 162193 |  7.408% | 
 | 22   | Zeraora            |  7.99212% | 222721 |  8.040% | 168755 |  7.707% | 
 | 23   | Dragonite          |  7.47749% | 223097 |  8.054% | 166562 |  7.607% | 
 | 24   | Blissey            |  7.38445% | 211433 |  7.633% | 163578 |  7.471% | 
 | 25   | Blacephalon        |  7.00420% | 203853 |  7.359% | 152015 |  6.943% | 
 | 26   | Pelipper           |  6.88218% | 209763 |  7.573% | 192761 |  8.804% | 
 | 27   | Ninetales-Alola    |  6.81799% | 152207 |  5.495% | 131081 |  5.987% | 
 | 28   | Volcanion          |  6.58995% | 159736 |  5.767% | 130783 |  5.973% | 
 | 29   | Slowking-Galar     |  6.53827% | 174477 |  6.299% | 140913 |  6.436% | 
 | 30   | Victini            |  6.18127% | 144675 |  5.223% | 115864 |  5.292% | 
 | 31   | Volcarona          |  6.05209% | 245893 |  8.877% | 179770 |  8.210% | 
 | 32   | Magnezone          |  5.86701% | 157677 |  5.692% | 124861 |  5.703% | 
 | 33   | Mew                |  5.82777% | 156175 |  5.638% | 130691 |  5.969% | 
 | 34   | Slowking           |  5.39489% | 73672  |  2.660% | 60742  |  2.774% | 
 | 35   | Excadrill          |  5.05544% | 134116 |  4.842% | 101433 |  4.633% | 
 | 36   | Zapdos-Galar       |  5.03751% | 153530 |  5.542% | 119548 |  5.460% | 
 | 37   | Bisharp            |  5.01994% | 171555 |  6.193% | 129217 |  5.902% | 
 | 38   | Barraskewda        |  4.90889% | 178911 |  6.459% | 137765 |  6.292% | 
 | 39   | Regieleki          |  4.73567% | 207132 |  7.478% | 157243 |  7.182% | 
 | 40   | Nihilego           |  4.29125% | 66405  |  2.397% | 49608  |  2.266% | 
 | 41   | Rotom-Wash         |  4.22325% | 104661 |  3.778% | 90999  |  4.156% | 
 | 42   | Blaziken           |  3.81022% | 131073 |  4.732% | 97202  |  4.439% | 
 | 43   | Nidoking           |  3.80338% | 100320 |  3.622% | 80279  |  3.666% | 
 | 44   | Crawdaunt          |  3.64428% | 66848  |  2.413% | 51327  |  2.344% | 
 | 45   | Hippowdon          |  3.43856% | 89679  |  3.237% | 79130  |  3.614% | 
 | 46   | Gastrodon          |  3.38587% | 46971  |  1.696% | 38374  |  1.753% | 
 | 47   | Celesteela         |  3.34612% | 69293  |  2.501% | 55705  |  2.544% | 
 | 48   | Scizor             |  3.31030% | 129894 |  4.689% | 100533 |  4.592% | 
 | 49   | Mandibuzz          |  3.25662% | 73538  |  2.655% | 58567  |  2.675% | 
 | 50   | Hawlucha           |  3.12516% | 113553 |  4.099% | 80898  |  3.695% | 
 | 51   | Aegislash          |  3.10817% | 80090  |  2.891% | 62513  |  2.855% | 
 | 52   | Arctozolt          |  3.10637% | 51776  |  1.869% | 40287  |  1.840% | 
 | 53   | Seismitoad         |  3.03300% | 83928  |  3.030% | 68800  |  3.142% | 
 | 54   | Hydreigon          |  2.84295% | 94759  |  3.421% | 73083  |  3.338% | 
 | 55   | Skarmory           |  2.72831% | 59692  |  2.155% | 51223  |  2.339% | 
 | 56   | Hatterene          |  2.70585% | 77792  |  2.808% | 65002  |  2.969% | 
 | 57   | Moltres-Galar      |  2.64449% | 52408  |  1.892% | 38052  |  1.738% | 
 | 58   | Swampert           |  2.60814% | 102416 |  3.697% | 90378  |  4.128% | 
 | 59   | Kommo-o            |  2.39568% | 77143  |  2.785% | 59124  |  2.700% | 
