 Total battles: 1506862
 Avg. weight/team: 0.019
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 45.67092% | 897966 | 29.796% | 775427 | 32.959% | 
 | 2    | Corviknight        | 21.55214% | 469779 | 15.588% | 381723 | 16.225% | 
 | 3    | Dragapult          | 21.44210% | 566783 | 18.807% | 422323 | 17.951% | 
 | 4    | Heatran            | 21.31037% | 472908 | 15.692% | 388454 | 16.511% | 
 | 5    | Ferrothorn         | 17.99272% | 498486 | 16.541% | 429313 | 18.248% | 
 | 6    | Garchomp           | 17.98385% | 452268 | 15.007% | 350927 | 14.916% | 
 | 7    | Tapu Lele          | 16.59635% | 293543 |  9.740% | 223074 |  9.482% | 
 | 8    | Weavile            | 15.27716% | 313102 | 10.389% | 239100 | 10.163% | 
 | 9    | Tapu Fini          | 14.72849% | 293298 |  9.732% | 246632 | 10.483% | 
 | 10   | Melmetal           | 14.67335% | 273449 |  9.073% | 220985 |  9.393% | 
 | 11   | Urshifu-Rapid-Strike | 14.39660% | 377955 | 12.541% | 299864 | 12.746% | 
 | 12   | Clefable           | 13.95059% | 370587 | 12.297% | 283305 | 12.042% | 
 | 13   | Toxapex            | 13.52869% | 322398 | 10.698% | 257096 | 10.928% | 
 | 14   | Kartana            | 12.14550% | 359547 | 11.930% | 274487 | 11.667% | 
 | 15   | Dragonite          | 11.41866% | 272719 |  9.049% | 201938 |  8.583% | 
 | 16   | Tornadus-Therian   | 10.74672% | 152988 |  5.076% | 120391 |  5.117% | 
 | 17   | Kyurem             | 10.53839% | 236839 |  7.859% | 181696 |  7.723% | 
 | 18   | Rillaboom          | 10.04758% | 335728 | 11.140% | 257589 | 10.949% | 
 | 19   | Tapu Koko          |  9.75989% | 270539 |  8.977% | 219661 |  9.337% | 
 | 20   | Magnezone          |  9.52620% | 206267 |  6.844% | 162228 |  6.895% | 
 | 21   | Zapdos             |  9.20141% | 260326 |  8.638% | 211730 |  9.000% | 
 | 22   | Zeraora            |  8.83606% | 288430 |  9.571% | 217361 |  9.239% | 
 | 23   | Volcarona          |  8.51735% | 327718 | 10.874% | 237551 | 10.097% | 
 | 24   | Blissey            |  8.46886% | 247925 |  8.227% | 187070 |  7.951% | 
 | 25   | Slowking-Galar     |  8.14726% | 185399 |  6.152% | 148088 |  6.294% | 
 | 26   | Pelipper           |  7.74512% | 181122 |  6.010% | 166330 |  7.070% | 
 | 27   | Ninetales-Alola    |  7.36360% | 115520 |  3.833% | 101464 |  4.313% | 
 | 28   | Bisharp            |  7.08936% | 213638 |  7.089% | 157601 |  6.699% | 
 | 29   | Scizor             |  7.04195% | 233452 |  7.746% | 182911 |  7.775% | 
 | 30   | Blacephalon        |  6.61169% | 127667 |  4.236% | 97850  |  4.159% | 
 | 31   | Barraskewda        |  6.27417% | 126400 |  4.194% | 98845  |  4.201% | 
 | 32   | Mew                |  6.20773% | 167277 |  5.551% | 139790 |  5.942% | 
 | 33   | Slowbro            |  5.75776% | 164921 |  5.472% | 132566 |  5.635% | 
 | 34   | Victini            |  5.67033% | 114822 |  3.810% | 93488  |  3.974% | 
 | 35   | Hippowdon          |  5.54512% | 131419 |  4.361% | 114377 |  4.862% | 
 | 36   | Arctozolt          |  5.45537% | 59180  |  1.964% | 46944  |  1.995% | 
 | 37   | Buzzwole           |  5.13912% | 90667  |  3.008% | 72217  |  3.070% | 
 | 38   | Tyranitar          |  5.13083% | 223497 |  7.416% | 181960 |  7.734% | 
 | 39   | Slowking           |  4.56246% | 117853 |  3.911% | 92230  |  3.920% | 
 | 40   | Regieleki          |  4.52758% | 145831 |  4.839% | 110120 |  4.681% | 
 | 41   | Excadrill          |  4.24994% | 225925 |  7.497% | 170226 |  7.235% | 
 | 42   | Swampert           |  4.24429% | 183151 |  6.077% | 156035 |  6.632% | 
 | 43   | Volcanion          |  4.14435% | 55895  |  1.855% | 46120  |  1.960% | 
 | 44   | Mandibuzz          |  4.14137% | 144273 |  4.787% | 112306 |  4.774% | 
 | 45   | Hydreigon          |  3.76707% | 151668 |  5.033% | 114027 |  4.847% | 
 | 46   | Skarmory           |  3.76270% | 120878 |  4.011% | 103209 |  4.387% | 
 | 47   | Torkoal            |  3.69481% | 77238  |  2.563% | 71436  |  3.036% | 
 | 48   | Hawlucha           |  3.54145% | 162661 |  5.397% | 113146 |  4.809% | 
 | 49   | Mamoswine          |  3.43980% | 89236  |  2.961% | 72119  |  3.065% | 
 | 50   | Crawdaunt          |  3.43066% | 79418  |  2.635% | 61619  |  2.619% | 
 | 51   | Nidoking           |  3.24311% | 106752 |  3.542% | 83798  |  3.562% | 
 | 52   | Blaziken           |  3.18447% | 149171 |  4.950% | 110963 |  4.716% | 
 | 53   | Zapdos-Galar       |  3.15878% | 91866  |  3.048% | 71412  |  3.035% | 
 | 54   | Aegislash          |  3.04030% | 82047  |  2.722% | 63473  |  2.698% | 
 | 55   | Hatterene          |  2.97994% | 90050  |  2.988% | 72674  |  3.089% | 
 | 56   | Seismitoad         |  2.63656% | 60497  |  2.007% | 49754  |  2.115% | 
 | 57   | Cloyster           |  2.51099% | 96252  |  3.194% | 70830  |  3.011% | 
 | 58   | Rotom-Wash         |  2.33773% | 102590 |  3.404% | 87931  |  3.737% | 
 | 59   | Latios             |  2.31301% | 66915  |  2.220% | 51358  |  2.183% | 
 | 60   | Venusaur           |  2.24362% | 79810  |  2.648% | 60739  |  2.582% | 
 | 61   | Chansey            |  2.19522% | 65292  |  2.166% | 49201  |  2.091% | 
 | 62   | Tangrowth          |  2.08814% | 61867  |  2.053% | 49537  |  2.106% | 
 | 63   | Celesteela         |  2.04951% | 56687  |  1.881% | 45425  |  1.931% | 
 | 64   | Marowak-Alola      |  2.03007% | 46034  |  1.527% | 35813  |  1.522% | 
 | 65   | Porygon2           |  1.99452% | 49061  |  1.628% | 40610  |  1.726% | 
 | 66   | Moltres-Galar      |  1.98246% | 39010  |  1.294% | 28694  |  1.220% | 
 | 67   | Gengar             |  1.93786% | 123276 |  4.090% | 90643  |  3.853% | 
 | 68   | Keldeo             |  1.73294% | 40306  |  1.337% | 31873  |  1.355% | 
 | 69   | Kommo-o            |  1.62683% | 63814  |  2.117% | 47921  |  2.037% | 
 | 70   | Azumarill          |  1.57478% | 70573  |  2.342% | 54416  |  2.313% | 
 | 71   | Cresselia          |  1.49661% | 25865  |  0.858% | 20413  |  0.868% | 
 | 72   | Tapu Bulu          |  1.49398% | 35392  |  1.174% | 28601  |  1.216% | 
 | 73   | Jirachi            |  1.39213% | 71714  |  2.380% | 55287  |  2.350% | 
 | 74   | Dracozolt          |  1.36182% | 57658  |  1.913% | 44073  |  1.873% | 
 | 75   | Gastrodon          |  1.32047% | 34854  |  1.157% | 27810  |  1.182% | 
 | 76   | Kingdra            |  1.31274% | 37473  |  1.243% | 28676  |  1.219% | 
 | 77   | Reuniclus          |  1.27587% | 33996  |  1.128% | 24482  |  1.041% | 
 | 78   | Ditto              |  1.18711% | 57823  |  1.919% | 41393  |  1.759% | 
 | 79   | Toxtricity         |  1.14234% | 32480  |  1.078% | 24681  |  1.049% | 
 | 80   | Darmanitan         |  1.03861% | 40433  |  1.342% | 31028  |  1.319% | 
 | 81   | Umbreon            |  1.01532% | 45976  |  1.526% | 34460  |  1.465% | 
 | 82   | Conkeldurr         |  0.99739% | 61483  |  2.040% | 46813  |  1.990% | 
 | 83   | Primarina          |  0.99591% | 37091  |  1.231% | 29263  |  1.244% | 
 | 84   | Thundurus-Therian  |  0.98832% | 52809  |  1.752% | 41293  |  1.755% | 
 | 85   | Latias             |  0.97070% | 32795  |  1.088% | 24062  |  1.023% | 
 | 86   | Terrakion          |  0.95744% | 24956  |  0.828% | 19227  |  0.817% | 
 | 87   | Rotom-Heat         |  0.92935% | 50431  |  1.673% | 41536  |  1.765% | 
 | 88   | Grimmsnarl         |  0.89338% | 73980  |  2.455% | 61005  |  2.593% | 
 | 89   | Alakazam           |  0.88390% | 63931  |  2.121% | 43535  |  1.850% | 
 | 90   | Quagsire           |  0.86341% | 36822  |  1.222% | 27713  |  1.178% | 
 | 91   | Shuckle            |  0.85295% | 53912  |  1.789% | 48421  |  2.058% | 
 | 92   | Nihilego           |  0.83716% | 36877  |  1.224% | 27634  |  1.175% | 
 | 93   | Moltres            |  0.81919% | 37612  |  1.248% | 30477  |  1.295% | 
 | 94   | Vanilluxe          |  0.77412% | 8280   |  0.275% | 6838   |  0.291% | 
 | 95   | Amoonguss          |  0.76210% | 38505  |  1.278% | 29824  |  1.268% | 
 | 96   | Salamence          |  0.72814% | 48798  |  1.619% | 36354  |  1.545% | 
 | 97   | Suicune            |  0.71964% | 18800  |  0.624% | 14156  |  0.602% | 
 | 98   | Mienshao           |  0.68608% | 18399  |  0.611% | 14346  |  0.610% | 
 | 99   | Togekiss           |  0.66867% | 62868  |  2.086% | 47311  |  2.011% | 
 | 100  | Zarude             |  0.65581% | 19835  |  0.658% | 14571  |  0.619% | 
 | 101  | Polteageist        |  0.65371% | 31940  |  1.060% | 23272  |  0.989% | 
 | 102  | Shedinja           |  0.64979% | 23270  |  0.772% | 16500  |  0.701% | 
 | 103  | Slurpuff           |  0.62579% | 25600  |  0.849% | 20746  |  0.882% | 
 | 104  | Diggersby          |  0.60615% | 17578  |  0.583% | 13361  |  0.568% | 
 | 105  | Xatu               |  0.56414% | 15400  |  0.511% | 12026  |  0.511% | 
 | 106  | Lycanroc-Dusk      |  0.53508% | 29485  |  0.978% | 22723  |  0.966% | 
 | 107  | Rhyperior          |  0.49635% | 25392  |  0.843% | 19856  |  0.844% | 
 | 108  | Gyarados           |  0.48927% | 65071  |  2.159% | 49934  |  2.122% | 
 | 109  | Snorlax            |  0.44796% | 43243  |  1.435% | 32889  |  1.398% | 
 | 110  | Ribombee           |  0.44467% | 21400  |  0.710% | 18781  |  0.798% | 
 | 111  | Haxorus            |  0.41926% | 24215  |  0.803% | 16796  |  0.714% | 
 | 112  | Krookodile         |  0.39998% | 44465  |  1.475% | 34247  |  1.456% | 
 | 113  | Necrozma           |  0.39045% | 15723  |  0.522% | 11495  |  0.489% | 
 | 114  | Klefki             |  0.38952% | 23058  |  0.765% | 19710  |  0.838% | 
 | 115  | Slowbro-Galar      |  0.38033% | 32256  |  1.070% | 23549  |  1.001% | 
 | 116  | Mimikyu            |  0.36715% | 47017  |  1.560% | 33872  |  1.440% | 
