 Total battles: 1042648
 Avg. weight/team: 0.029
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 48.58771% | 587123 | 28.155% | 504567 | 31.251% | 
 | 2    | Ferrothorn         | 22.75630% | 382507 | 18.343% | 328434 | 20.342% | 
 | 3    | Dragapult          | 20.92778% | 411211 | 19.720% | 303664 | 18.808% | 
 | 4    | Heatran            | 20.79829% | 296072 | 14.198% | 241949 | 14.985% | 
 | 5    | Corviknight        | 17.94934% | 292038 | 14.005% | 233144 | 14.440% | 
 | 6    | Garchomp           | 16.91714% | 338991 | 16.256% | 262360 | 16.249% | 
 | 7    | Weavile            | 16.41498% | 211884 | 10.161% | 158578 |  9.822% | 
 | 8    | Kartana            | 15.77996% | 250615 | 12.018% | 189467 | 11.735% | 
 | 9    | Tapu Lele          | 15.49205% | 185172 |  8.880% | 142634 |  8.834% | 
 | 10   | Melmetal           | 14.90723% | 195594 |  9.380% | 157407 |  9.749% | 
 | 11   | Toxapex            | 14.89632% | 259522 | 12.445% | 206374 | 12.782% | 
 | 12   | Tapu Fini          | 14.24038% | 186771 |  8.957% | 154957 |  9.597% | 
 | 13   | Clefable           | 13.37308% | 239988 | 11.509% | 181271 | 11.227% | 
 | 14   | Tornadus-Therian   | 12.36328% | 115513 |  5.539% | 92090  |  5.704% | 
 | 15   | Urshifu-Rapid-Strike | 12.32267% | 237792 | 11.403% | 186297 | 11.538% | 
 | 16   | Zapdos             | 11.73546% | 201064 |  9.642% | 161911 | 10.028% | 
 | 17   | Tapu Koko          | 11.59465% | 175244 |  8.404% | 143574 |  8.892% | 
 | 18   | Dragonite          | 11.16496% | 204333 |  9.799% | 149064 |  9.232% | 
 | 19   | Slowbro            |  9.39637% | 121748 |  5.838% | 97924  |  6.065% | 
 | 20   | Magnezone          |  9.32753% | 150641 |  7.224% | 117643 |  7.286% | 
 | 21   | Rillaboom          |  8.35446% | 192589 |  9.236% | 145905 |  9.037% | 
 | 22   | Volcarona          |  8.21693% | 222338 | 10.662% | 160432 |  9.936% | 
 | 23   | Blissey            |  8.19502% | 171765 |  8.237% | 130040 |  8.054% | 
 | 24   | Zeraora            |  8.06204% | 163729 |  7.852% | 123249 |  7.634% | 
 | 25   | Slowking-Galar     |  7.91979% | 130587 |  6.262% | 103207 |  6.392% | 
 | 26   | Tyranitar          |  7.88192% | 164288 |  7.878% | 133832 |  8.289% | 
 | 27   | Blacephalon        |  7.54040% | 135525 |  6.499% | 101275 |  6.273% | 
 | 28   | Buzzwole           |  6.96548% | 98002  |  4.700% | 75909  |  4.701% | 
