 Total battles: 1716649
 Avg. weight/team: 0.039
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Dragapult          | 39.21065% | 1185112 | 34.518% | 891854 | 33.264% | 
 | 2    | Clefable           | 34.02292% | 675606 | 19.678% | 537019 | 20.030% | 
 | 3    | Corviknight        | 30.98628% | 857142 | 24.966% | 673700 | 25.128% | 
 | 4    | Excadrill          | 22.38977% | 717401 | 20.895% | 564015 | 21.037% | 
 | 5    | Seismitoad         | 22.31915% | 639303 | 18.621% | 547444 | 20.419% | 
 | 6    | Aegislash          | 18.51264% | 423809 | 12.344% | 326697 | 12.185% | 
 | 7    | Kommo-o            | 17.38098% | 325608 |  9.484% | 251255 |  9.371% | 
 | 8    | Hydreigon          | 17.36672% | 449373 | 13.089% | 342883 | 12.789% | 
 | 9    | Ferrothorn         | 16.99221% | 648177 | 18.879% | 552849 | 20.620% | 
 | 10   | Mandibuzz          | 16.31856% | 350639 | 10.213% | 277927 | 10.366% | 
 | 11   | Cinderace          | 15.88287% | 728060 | 21.206% | 562778 | 20.990% | 
 | 12   | Zeraora            | 15.34921% | 415203 | 12.093% | 329245 | 12.280% | 
 | 13   | Rotom-Heat         | 14.57441% | 423032 | 12.321% | 354717 | 13.230% | 
 | 14   | Bisharp            | 13.84289% | 318901 |  9.288% | 233662 |  8.715% | 
 | 15   | Toxapex            | 13.55733% | 373844 | 10.889% | 301173 | 11.233% | 
 | 16   | Dracovish          | 13.44098% | 497259 | 14.483% | 372081 | 13.878% | 
 | 17   | Dugtrio            | 12.55980% | 314104 |  9.149% | 241145 |  8.994% | 
 | 18   | Conkeldurr         | 11.79708% | 396457 | 11.547% | 311672 | 11.625% | 
 | 19   | Cloyster           | 10.77071% | 319415 |  9.303% | 232821 |  8.684% | 
 | 20   | Togekiss           |  9.77157% | 359705 | 10.477% | 276390 | 10.309% | 
 | 21   | Hatterene          |  8.15229% | 313018 |  9.117% | 246448 |  9.192% | 
 | 22   | Grimmsnarl         |  7.97506% | 322833 |  9.403% | 259373 |  9.674% | 
 | 23   | Terrakion          |  7.44325% | 186805 |  5.441% | 140876 |  5.254% | 
 | 24   | Mew                |  7.27229% | 176846 |  5.151% | 145644 |  5.432% | 
 | 25   | Sylveon            |  6.92586% | 217143 |  6.325% | 165492 |  6.173% | 
 | 26   | Kyurem             |  6.70237% | 112918 |  3.289% | 85108  |  3.174% | 
 | 27   | Pelipper           |  6.47212% | 196036 |  5.710% | 177168 |  6.608% | 
 | 28   | Gengar             |  6.45643% | 246249 |  7.172% | 180390 |  6.728% | 
 | 29   | Keldeo             |  6.41474% | 169267 |  4.930% | 130502 |  4.867% | 
 | 30   | Mimikyu            |  6.16527% | 203162 |  5.917% | 147537 |  5.503% | 
 | 31   | Tyranitar          |  6.02756% | 268567 |  7.822% | 214088 |  7.985% | 
 | 32   | Obstagoon          |  5.90276% | 243548 |  7.094% | 187834 |  7.006% | 
 | 33   | Rotom-Wash         |  5.58530% | 255514 |  7.442% | 214634 |  8.005% | 
 | 34   | Jirachi            |  5.56095% | 152261 |  4.435% | 121672 |  4.538% | 
 | 35   | Torkoal            |  5.31127% | 210958 |  6.144% | 197350 |  7.361% | 
 | 36   | Ditto              |  5.28899% | 201394 |  5.866% | 141083 |  5.262% | 
 | 37   | Hippowdon          |  5.19762% | 81213  |  2.365% | 70692  |  2.637% | 
 | 38   | Melmetal           |  5.15855% | 129036 |  3.758% | 105294 |  3.927% | 
 | 39   | Darmanitan         |  4.65470% | 201675 |  5.874% | 157194 |  5.863% | 
 | 40   | Venusaur           |  4.50719% | 203792 |  5.936% | 166281 |  6.202% | 
 | 41   | Kyurem-Black       |  4.20289% | 109030 |  3.176% | 78001  |  2.909% | 
 | 42   | Gyarados           |  4.12657% | 210120 |  6.120% | 157980 |  5.892% | 
 | 43   | Toxtricity         |  3.98285% | 283402 |  8.255% | 209787 |  7.825% | 
 | 44   | Primarina          |  3.82357% | 96137  |  2.800% | 78245  |  2.918% | 
 | 45   | Crawdaunt          |  3.66981% | 149898 |  4.366% | 114699 |  4.278% | 
 | 46   | Rotom-Mow          |  3.66558% | 157527 |  4.588% | 127493 |  4.755% | 
 | 47   | Hawlucha           |  3.56320% | 118890 |  3.463% | 85724  |  3.197% | 
 | 48   | Mantine            |  3.15541% | 39239  |  1.143% | 31346  |  1.169% | 
 | 49   | Necrozma           |  2.84931% | 66703  |  1.943% | 51468  |  1.920% | 
 | 50   | Incineroar         |  2.61264% | 142146 |  4.140% | 121313 |  4.525% | 
 | 51   | Gastrodon          |  2.52867% | 78617  |  2.290% | 62025  |  2.313% | 
 | 52   | Celebi             |  2.43293% | 77391  |  2.254% | 59961  |  2.236% | 
 | 53   | Mamoswine          |  2.31367% | 67869  |  1.977% | 54764  |  2.043% | 
 | 54   | Vaporeon           |  2.18603% | 71958  |  2.096% | 56927  |  2.123% | 
 | 55   | Weezing-Galar      |  2.16662% | 79532  |  2.316% | 64434  |  2.403% | 
 | 56   | Vikavolt           |  2.15147% | 52855  |  1.539% | 44960  |  1.677% | 
 | 57   | Ninetales-Alola    |  2.08086% | 73247  |  2.133% | 61469  |  2.293% | 
 | 58   | Chandelure         |  2.01888% | 95074  |  2.769% | 73504  |  2.742% | 
 | 59   | Barraskewda        |  1.96993% | 75037  |  2.186% | 53017  |  1.977% | 
 | 60   | Blastoise          |  1.86661% | 145844 |  4.248% | 108356 |  4.041% | 
 | 61   | Shuckle            |  1.85459% | 59252  |  1.726% | 53095  |  1.980% | 
 | 62   | Ribombee           |  1.75261% | 67328  |  1.961% | 58868  |  2.196% | 
 | 63   | Diggersby          |  1.63551% | 32619  |  0.950% | 25689  |  0.958% | 
 | 64   | Corsola-Galar      |  1.55821% | 145000 |  4.223% | 112172 |  4.184% | 
 | 65   | Weavile            |  1.54761% | 75629  |  2.203% | 57520  |  2.145% | 
 | 66   | Reuniclus          |  1.47559% | 47972  |  1.397% | 35738  |  1.333% | 
 | 67   | Jellicent          |  1.42565% | 33249  |  0.968% | 26112  |  0.974% | 
 | 68   | Quagsire           |  1.34992% | 37581  |  1.095% | 29230  |  1.090% | 
 | 69   | Snorlax            |  1.34192% | 50981  |  1.485% | 38874  |  1.450% | 
 | 70   | Dracozolt          |  1.27959% | 73794  |  2.149% | 55340  |  2.064% | 
 | 71   | Rhyperior          |  1.16248% | 38442  |  1.120% | 30279  |  1.129% | 
 | 72   | Charizard          |  1.07022% | 71339  |  2.078% | 53471  |  1.994% | 
 | 73   | Cobalion           |  1.05339% | 37472  |  1.091% | 29783  |  1.111% | 
 | 74   | Sirfetch'd         |  1.05036% | 52013  |  1.515% | 40369  |  1.506% | 
 | 75   | Galvantula         |  1.03601% | 75994  |  2.213% | 66372  |  2.476% | 
 | 76   | Heliolisk          |  1.01502% | 62810  |  1.829% | 46776  |  1.745% | 
 | 77   | Sigilyph           |  0.97166% | 24759  |  0.721% | 18680  |  0.697% | 
 | 78   | Haxorus            |  0.95965% | 66505  |  1.937% | 46315  |  1.727% | 
 | 79   | Sandaconda         |  0.86337% | 29470  |  0.858% | 24577  |  0.917% | 
 | 80   | Gardevoir          |  0.83684% | 62627  |  1.824% | 46436  |  1.732% | 
 | 81   | Polteageist        |  0.82036% | 71773  |  2.090% | 51965  |  1.938% | 
 | 82   | Milotic            |  0.77082% | 55270  |  1.610% | 43037  |  1.605% | 
 | 83   | Ninetales          |  0.72197% | 53025  |  1.544% | 44039  |  1.643% | 
 | 84   | Xatu               |  0.71011% | 22256  |  0.648% | 17217  |  0.642% | 
 | 85   | Salazzle           |  0.68717% | 61163  |  1.781% | 47529  |  1.773% | 
 | 86   | Centiskorch        |  0.65508% | 59985  |  1.747% | 46852  |  1.747% | 
 | 87   | Golisopod          |  0.65052% | 35938  |  1.047% | 27726  |  1.034% | 
 | 88   | Lucario            |  0.63553% | 53612  |  1.562% | 39394  |  1.469% | 
 | 89   | Vanilluxe          |  0.60274% | 26481  |  0.771% | 21910  |  0.817% | 
 | 90   | Araquanid          |  0.57054% | 48087  |  1.401% | 41315  |  1.541% | 
 | 91   | Goodra             |  0.56522% | 46252  |  1.347% | 34500  |  1.287% | 
 | 92   | Whimsicott         |  0.54210% | 47815  |  1.393% | 38120  |  1.422% | 
 | 93   | Umbreon            |  0.51485% | 42568  |  1.240% | 31964  |  1.192% | 
 | 94   | Shiftry            |  0.49551% | 25192  |  0.734% | 18478  |  0.689% | 
 | 95   | Arcanine           |  0.48819% | 70978  |  2.067% | 55543  |  2.072% | 
 | 96   | Pincurchin         |  0.47956% | 26733  |  0.779% | 23307  |  0.869% | 
 | 97   | Pyukumuku          |  0.47220% | 17041  |  0.496% | 12992  |  0.485% | 
 | 98   | Copperajah         |  0.46320% | 27360  |  0.797% | 21509  |  0.802% | 
 | 99   | Cinccino           |  0.45821% | 27143  |  0.791% | 18774  |  0.700% | 
 | 100  | Toxicroak          |  0.44404% | 28542  |  0.831% | 21172  |  0.790% | 
 | 101  | Runerigus          |  0.42942% | 34575  |  1.007% | 29244  |  1.091% | 
 | 102  | Arctozolt          |  0.40901% | 8996   |  0.262% | 6653   |  0.248% | 
 | 103  | Indeedee           |  0.40573% | 25977  |  0.757% | 20975  |  0.782% | 
 | 104  | Roserade           |  0.40539% | 36315  |  1.058% | 27864  |  1.039% | 
 | 105  | Durant             |  0.40155% | 30232  |  0.881% | 23601  |  0.880% | 
 | 106  | Gigalith           |  0.37628% | 13631  |  0.397% | 11316  |  0.422% | 
 | 107  | Frosmoth           |  0.35508% | 38963  |  1.135% | 26456  |  0.987% | 
 | 108  | Rotom-Fan          |  0.34850% | 4739   |  0.138% | 4055   |  0.151% | 
 | 109  | Flygon             |  0.32737% | 35303  |  1.028% | 27205  |  1.015% | 
 | 110  | Ludicolo           |  0.32212% | 25361  |  0.739% | 18950  |  0.707% | 
 | 111  | Slurpuff           |  0.30468% | 16852  |  0.491% | 13411  |  0.500% | 
 | 112  | Duraludon          |  0.30092% | 35868  |  1.045% | 27378  |  1.021% | 
 | 113  | Raichu-Alola       |  0.28219% | 23063  |  0.672% | 17190  |  0.641% | 
 | 114  | Decidueye          |  0.26128% | 39552  |  1.152% | 29793  |  1.111% | 
 | 115  | Lapras             |  0.25041% | 24618  |  0.717% | 18920  |  0.706% | 
 | 116  | Espeon             |  0.24845% | 52446  |  1.528% | 39026  |  1.456% | 
 | 117  | Virizion           |  0.24151% | 20969  |  0.611% | 15634  |  0.583% | 
 | 118  | Coalossal          |  0.23385% | 27433  |  0.799% | 22206  |  0.828% | 
 | 119  | Pangoro            |  0.22915% | 9761   |  0.284% | 7510   |  0.280% | 
 | 120  | Braviary           |  0.21228% | 18886  |  0.550% | 13939  |  0.520% | 
 | 121  | Diglett            |  0.21033% | 2043   |  0.060% | 1631   |  0.061% | 
 | 122  | Bronzong           |  0.20875% | 22549  |  0.657% | 19251  |  0.718% | 
 | 123  | Morpeko            |  0.20795% | 32600  |  0.950% | 24629  |  0.919% | 
 | 124  | Drednaw            |  0.20506% | 15846  |  0.462% | 11489  |  0.429% | 
 | 125  | Noivern            |  0.20250% | 31713  |  0.924% | 24189  |  0.902% | 
 | 126  | Inteleon           |  0.20066% | 46151  |  1.344% | 33394  |  1.246% | 
 | 127  | Drapion            |  0.19979% | 25006  |  0.728% | 19773  |  0.737% | 
 | 128  | Rillaboom          |  0.19775% | 30167  |  0.879% | 22997  |  0.858% | 
 | 129  | Vileplume          |  0.19333% | 15728  |  0.458% | 12156  |  0.453% | 
 | 130  | Butterfree         |  0.18475% | 9564   |  0.279% | 6969   |  0.260% | 
 | 131  | Orbeetle           |  0.17871% | 23370  |  0.681% | 19576  |  0.730% | 
 | 132  | Cursola            |  0.17679% | 15545  |  0.453% | 11715  |  0.437% | 
 | 133  | Appletun           |  0.17425% | 25897  |  0.754% | 18879  |  0.704% | 
 | 134  | Claydol            |  0.16599% | 16762  |  0.488% | 13463  |  0.502% | 
 | 135  | Avalugg            |  0.16533% | 21331  |  0.621% | 15822  |  0.590% | 
 | 136  | Linoone            |  0.16366% | 18745  |  0.546% | 13306  |  0.496% | 
 | 137  | Steelix            |  0.15215% | 17141  |  0.499% | 13850  |  0.517% | 
 | 138  | Cramorant          |  0.15171% | 33263  |  0.969% | 25780  |  0.962% | 
 | 139  | Eldegoss           |  0.14695% | 18299  |  0.533% | 14199  |  0.530% | 
 | 140  | Tsareena           |  0.14567% | 22555  |  0.657% | 17182  |  0.641% | 
 | 141  | Indeedee-F         |  0.14419% | 8551   |  0.249% | 6703   |  0.250% | 
 | 142  | Jolteon            |  0.14363% | 29552  |  0.861% | 22715  |  0.847% | 
 | 143  | Lanturn            |  0.14144% | 5939   |  0.173% | 4716   |  0.176% | 
 | 144  | Leafeon            |  0.14095% | 17579  |  0.512% | 13126  |  0.490% | 
 | 145  | Hitmonlee          |  0.13787% | 23572  |  0.687% | 16803  |  0.627% | 
 | 146  | Pikachu            |  0.13292% | 8151   |  0.237% | 5984   |  0.223% | 
 | 147  | Glaceon            |  0.13186% | 9609   |  0.280% | 6848   |  0.255% | 
 | 148  | Accelgor           |  0.12314% | 15795  |  0.460% | 12902  |  0.481% | 
 | 149  | Bewear             |  0.12308% | 9850   |  0.287% | 7345   |  0.274% | 
 | 150  | Abomasnow          |  0.11742% | 9928   |  0.289% | 7976   |  0.297% | 
 | 151  | Machamp            |  0.11452% | 18728  |  0.545% | 14896  |  0.556% | 
 | 152  | Sableye            |  0.11409% | 16428  |  0.478% | 12963  |  0.483% | 
 | 153  | Beartic            |  0.10848% | 9316   |  0.271% | 6701   |  0.250% | 
 | 154  | Gallade            |  0.10538% | 15924  |  0.464% | 11710  |  0.437% | 
 | 155  | Hitmontop          |  0.10474% | 13998  |  0.408% | 10852  |  0.405% | 
 | 156  | Flapple            |  0.09932% | 13242  |  0.386% | 9444   |  0.352% | 
 | 157  | Froslass           |  0.09505% | 10830  |  0.315% | 8865   |  0.331% | 
 | 158  | Shedinja           |  0.09125% | 11779  |  0.343% | 7923   |  0.296% | 
 | 159  | Trapinch           |  0.08765% | 2281   |  0.066% | 1654   |  0.062% | 
 | 160  | Scrafty            |  0.08606% | 13571  |  0.395% | 10063  |  0.375% | 
 | 161  | Escavalier         |  0.08513% | 8717   |  0.254% | 6737   |  0.251% | 
 | 162  | Eiscue             |  0.07843% | 20277  |  0.591% | 14196  |  0.529% | 
 | 163  | Stunfisk           |  0.07768% | 5528   |  0.161% | 4564   |  0.170% | 
 | 164  | Mr. Mime-Galar     |  0.06995% | 9442   |  0.275% | 6669   |  0.249% | 
 | 165  | Noctowl            |  0.06978% | 2935   |  0.085% | 2087   |  0.078% | 
 | 166  | Drifblim           |  0.06816% | 8609   |  0.251% | 6383   |  0.238% | 
 | 167  | Alcremie           |  0.06553% | 14670  |  0.427% | 10540  |  0.393% | 
 | 168  | Silvally-Fairy     |  0.06405% | 5010   |  0.146% | 3874   |  0.144% | 
 | 169  | Persian-Alola      |  0.06229% | 12157  |  0.354% | 9845   |  0.367% | 
 | 170  | Cofagrigus         |  0.06163% | 10114  |  0.295% | 8353   |  0.312% | 
 | 171  | Mudsdale           |  0.06093% | 14143  |  0.412% | 11444  |  0.427% | 
 | 172  | Dhelmise           |  0.06002% | 9552   |  0.278% | 7355   |  0.274% | 
 | 173  | Kingler            |  0.05959% | 4683   |  0.136% | 3452   |  0.129% | 
 | 174  | Weezing            |  0.05922% | 12611  |  0.367% | 10219  |  0.381% | 
 | 175  | Rapidash-Galar     |  0.05900% | 13772  |  0.401% | 9410   |  0.351% | 
 | 176  | Swoobat            |  0.05588% | 10974  |  0.320% | 7960   |  0.297% | 
 | 177  | Barbaracle         |  0.05574% | 7486   |  0.218% | 5254   |  0.196% | 
 | 178  | Dusclops           |  0.05557% | 13116  |  0.382% | 10424  |  0.389% | 
