 Total battles: 1780471
 Avg. weight/team: 0.037
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Dragapult          | 40.61997% | 1335515 | 37.505% | 1003505 | 36.128% | 
 | 2    | Corviknight        | 37.54771% | 995958 | 27.969% | 785209 | 28.269% | 
 | 3    | Clefable           | 31.23795% | 661575 | 18.579% | 530840 | 19.111% | 
 | 4    | Seismitoad         | 30.49124% | 716229 | 20.113% | 611845 | 22.028% | 
 | 5    | Excadrill          | 25.75186% | 930790 | 26.139% | 732315 | 26.365% | 
 | 6    | Hydreigon          | 25.32956% | 587494 | 16.498% | 456200 | 16.424% | 
 | 7    | Ferrothorn         | 20.77518% | 830804 | 23.331% | 711009 | 25.598% | 
 | 8    | Aegislash          | 20.51886% | 490935 | 13.787% | 374948 | 13.499% | 
 | 9    | Cinderace          | 18.86907% | 819930 | 23.026% | 635885 | 22.893% | 
 | 10   | Rotom-Heat         | 17.29872% | 489506 | 13.747% | 409019 | 14.726% | 
 | 11   | Kommo-o            | 16.39126% | 371160 | 10.423% | 278327 | 10.020% | 
 | 12   | Toxapex            | 16.06442% | 513546 | 14.422% | 409395 | 14.739% | 
 | 13   | Dracovish          | 15.05383% | 657210 | 18.456% | 493642 | 17.772% | 
 | 14   | Mandibuzz          | 14.62357% | 318958 |  8.957% | 254173 |  9.151% | 
 | 15   | Conkeldurr         | 14.22467% | 428681 | 12.038% | 331468 | 11.934% | 
 | 16   | Dugtrio            | 12.78528% | 284178 |  7.980% | 216274 |  7.786% | 
 | 17   | Sylveon            | 12.49762% | 293561 |  8.244% | 228333 |  8.221% | 
 | 18   | Bisharp            | 11.45697% | 342791 |  9.626% | 249870 |  8.996% | 
 | 19   | Hatterene          | 11.05134% | 444224 | 12.475% | 349838 | 12.595% | 
 | 20   | Grimmsnarl         | 10.87327% | 473656 | 13.301% | 378498 | 13.627% | 
 | 21   | Cloyster           | 10.08765% | 185095 |  5.198% | 139148 |  5.010% | 
 | 22   | Mew                |  8.93602% | 213066 |  5.983% | 175655 |  6.324% | 
 | 23   | Togekiss           |  8.92714% | 344768 |  9.682% | 266776 |  9.605% | 
 | 24   | Toxtricity         |  8.48662% | 475100 | 13.342% | 351788 | 12.665% | 
 | 25   | Tyranitar          |  8.46470% | 384818 | 10.807% | 309835 | 11.155% | 
 | 26   | Mimikyu            |  8.03425% | 266801 |  7.492% | 192976 |  6.948% | 
 | 27   | Obstagoon          |  7.97298% | 236230 |  6.634% | 186625 |  6.719% | 
 | 28   | Gengar             |  7.40495% | 208924 |  5.867% | 155192 |  5.587% | 
 | 29   | Rotom-Wash         |  6.45663% | 330345 |  9.277% | 276628 |  9.959% | 
 | 30   | Ditto              |  6.22265% | 278852 |  7.831% | 191668 |  6.900% | 
 | 31   | Crawdaunt          |  6.00202% | 158201 |  4.443% | 123950 |  4.462% | 
 | 32   | Pelipper           |  5.44929% | 209813 |  5.892% | 189604 |  6.826% | 
 | 33   | Rotom-Mow          |  5.11288% | 111367 |  3.127% | 91793  |  3.305% | 
 | 34   | Gyarados           |  5.02791% | 297518 |  8.355% | 223035 |  8.030% | 
 | 35   | Corsola-Galar      |  4.22808% | 349339 |  9.810% | 271139 |  9.762% | 
 | 36   | Hippowdon          |  4.01281% | 86081  |  2.417% | 74602  |  2.686% | 
 | 37   | Dracozolt          |  3.55562% | 161707 |  4.541% | 120984 |  4.356% | 
 | 38   | Hawlucha           |  3.54970% | 161861 |  4.545% | 115340 |  4.152% | 
 | 39   | Gastrodon          |  3.40323% | 101391 |  2.847% | 80914  |  2.913% | 
 | 40   | Mamoswine          |  2.87017% | 82857  |  2.327% | 66579  |  2.397% | 
 | 41   | Sirfetch'd         |  2.41643% | 78535  |  2.205% | 61479  |  2.213% | 
 | 42   | Rhyperior          |  2.23859% | 41043  |  1.153% | 32915  |  1.185% | 
 | 43   | Snorlax            |  2.22234% | 63028  |  1.770% | 48796  |  1.757% | 
 | 44   | Lucario            |  2.09306% | 93591  |  2.628% | 68551  |  2.468% | 
 | 45   | Chandelure         |  1.96855% | 112131 |  3.149% | 87643  |  3.155% | 
 | 46   | Shuckle            |  1.89675% | 57340  |  1.610% | 51183  |  1.843% | 
 | 47   | Jellicent          |  1.89202% | 50413  |  1.416% | 39792  |  1.433% | 
 | 48   | Barraskewda        |  1.89088% | 119011 |  3.342% | 83313  |  2.999% | 
 | 49   | Centiskorch        |  1.86152% | 93302  |  2.620% | 74382  |  2.678% | 
 | 50   | Reuniclus          |  1.84986% | 65110  |  1.828% | 47434  |  1.708% | 
 | 51   | Diggersby          |  1.81993% | 36556  |  1.027% | 29192  |  1.051% | 
 | 52   | Vaporeon           |  1.76092% | 51613  |  1.449% | 40995  |  1.476% | 
 | 53   | Mantine            |  1.74191% | 25429  |  0.714% | 20198  |  0.727% | 
 | 54   | Weezing-Galar      |  1.68593% | 94862  |  2.664% | 76316  |  2.748% | 
 | 55   | Ribombee           |  1.63732% | 96246  |  2.703% | 84733  |  3.051% | 
 | 56   | Heliolisk          |  1.39661% | 58863  |  1.653% | 45423  |  1.635% | 
 | 57   | Haxorus            |  1.26736% | 77260  |  2.170% | 54077  |  1.947% | 
 | 58   | Sigilyph           |  1.22512% | 25250  |  0.709% | 19434  |  0.700% | 
 | 59   | Quagsire           |  1.21806% | 50727  |  1.425% | 39351  |  1.417% | 
 | 60   | Polteageist        |  1.14277% | 105663 |  2.967% | 75117  |  2.704% | 
 | 61   | Indeedee           |  1.10564% | 38808  |  1.090% | 31397  |  1.130% | 
