 Total battles: 1558433
 Avg. weight/team: 0.034
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 45.53798% | 914511 | 29.341% | 793311 | 32.604% | 
 | 2    | Dragapult          | 23.70839% | 615312 | 19.741% | 454814 | 18.692% | 
 | 3    | Heatran            | 21.62512% | 474744 | 15.231% | 391266 | 16.080% | 
 | 4    | Garchomp           | 21.32043% | 481541 | 15.450% | 375077 | 15.415% | 
 | 5    | Corviknight        | 19.41227% | 472546 | 15.161% | 384733 | 15.812% | 
 | 6    | Clefable           | 17.89062% | 426681 | 13.689% | 329050 | 13.523% | 
 | 7    | Weavile            | 17.63086% | 358787 | 11.511% | 277174 | 11.391% | 
 | 8    | Ferrothorn         | 17.26685% | 491798 | 15.779% | 424494 | 17.446% | 
 | 9    | Urshifu-Rapid-Strike | 16.84568% | 408994 | 13.122% | 325295 | 13.369% | 
 | 10   | Kartana            | 16.78246% | 360707 | 11.573% | 277198 | 11.392% | 
 | 11   | Tapu Fini          | 16.67913% | 335641 | 10.769% | 285188 | 11.721% | 
 | 12   | Toxapex            | 14.23791% | 334025 | 10.717% | 269320 | 11.069% | 
 | 13   | Dragonite          | 13.75719% | 334030 | 10.717% | 246674 | 10.138% | 
 | 14   | Tapu Lele          | 13.75286% | 248893 |  7.985% | 192621 |  7.916% | 
 | 15   | Melmetal           | 13.62603% | 296766 |  9.521% | 240987 |  9.904% | 
 | 16   | Volcarona          | 11.58918% | 373508 | 11.983% | 270171 | 11.104% | 
 | 17   | Bisharp            | 11.43627% | 229122 |  7.351% | 170988 |  7.027% | 
 | 18   | Magnezone          | 11.19320% | 226573 |  7.269% | 180758 |  7.429% | 
 | 19   | Tornadus-Therian   | 10.87883% | 157709 |  5.060% | 125355 |  5.152% | 
 | 20   | Tapu Koko          | 10.47505% | 291595 |  9.355% | 237581 |  9.764% | 
 | 21   | Rillaboom          | 10.37419% | 338949 | 10.875% | 259787 | 10.677% | 
 | 22   | Mew                |  9.57775% | 174727 |  5.606% | 146866 |  6.036% | 
 | 23   | Slowking-Galar     |  9.56121% | 203644 |  6.534% | 162609 |  6.683% | 
 | 24   | Kyurem             |  9.01183% | 253740 |  8.141% | 197226 |  8.106% | 
 | 25   | Cloyster           |  8.84573% | 159204 |  5.108% | 117207 |  4.817% | 
 | 26   | Zapdos             |  8.56481% | 289842 |  9.299% | 235967 |  9.698% | 
 | 27   | Blissey            |  8.24855% | 258401 |  8.290% | 195716 |  8.044% | 
 | 28   | Scizor             |  7.82361% | 235705 |  7.562% | 185466 |  7.622% | 
 | 29   | Zeraora            |  7.82123% | 281798 |  9.041% | 215219 |  8.845% | 
 | 30   | Hippowdon          |  5.89155% | 138045 |  4.429% | 120542 |  4.954% | 
 | 31   | Slowbro            |  5.61323% | 162369 |  5.209% | 130714 |  5.372% | 
 | 32   | Pelipper           |  5.60851% | 165880 |  5.322% | 153108 |  6.292% | 
 | 33   | Blacephalon        |  5.35580% | 116713 |  3.745% | 89257  |  3.668% | 
 | 34   | Buzzwole           |  5.34950% | 88449  |  2.838% | 70858  |  2.912% | 
 | 35   | Slowking           |  5.27878% | 135176 |  4.337% | 106594 |  4.381% | 
 | 36   | Skarmory           |  5.06470% | 130133 |  4.175% | 111906 |  4.599% | 
 | 37   | Tyranitar          |  4.55219% | 226656 |  7.272% | 184984 |  7.603% | 
 | 38   | Mandibuzz          |  4.38422% | 156281 |  5.014% | 122385 |  5.030% | 
 | 39   | Ninetales-Alola    |  4.31452% | 75197  |  2.413% | 65548  |  2.694% | 
 | 40   | Victini            |  4.16261% | 123242 |  3.954% | 98911  |  4.065% | 
 | 41   | Barraskewda        |  4.07881% | 99815  |  3.202% | 78178  |  3.213% | 
 | 42   | Excadrill          |  3.88544% | 231548 |  7.429% | 174109 |  7.156% | 
 | 43   | Hawlucha           |  3.78230% | 170375 |  5.466% | 118290 |  4.862% | 
 | 44   | Swampert           |  3.66843% | 192935 |  6.190% | 164932 |  6.778% | 
 | 45   | Regieleki          |  3.51712% | 142717 |  4.579% | 107491 |  4.418% | 
 | 46   | Hydreigon          |  3.46960% | 141991 |  4.556% | 106753 |  4.387% | 
 | 47   | Nidoking           |  3.04509% | 116649 |  3.743% | 90684  |  3.727% | 
 | 48   | Rotom-Wash         |  2.98372% | 110053 |  3.531% | 94937  |  3.902% | 
 | 49   | Crawdaunt          |  2.92689% | 60769  |  1.950% | 47054  |  1.934% | 
 | 50   | Aegislash          |  2.84638% | 90643  |  2.908% | 70035  |  2.878% | 
 | 51   | Hatterene          |  2.74054% | 89148  |  2.860% | 73002  |  3.000% | 
 | 52   | Tangrowth          |  2.64666% | 63160  |  2.026% | 50903  |  2.092% | 
 | 53   | Zapdos-Galar       |  2.19065% | 91697  |  2.942% | 70843  |  2.912% | 
 | 54   | Marowak-Alola      |  2.15430% | 46663  |  1.497% | 36781  |  1.512% | 
 | 55   | Seismitoad         |  2.09906% | 53778  |  1.725% | 44493  |  1.829% | 
 | 56   | Porygon2           |  2.08954% | 53095  |  1.703% | 43446  |  1.786% | 
 | 57   | Blaziken           |  2.00780% | 147777 |  4.741% | 110547 |  4.543% | 
 | 58   | Volcanion          |  1.96791% | 43096  |  1.383% | 35071  |  1.441% | 
 | 59   | Cresselia          |  1.93726% | 28774  |  0.923% | 22272  |  0.915% | 
 | 60   | Kommo-o            |  1.92010% | 64759  |  2.078% | 49383  |  2.030% | 
 | 61   | Mamoswine          |  1.89033% | 86682  |  2.781% | 70651  |  2.904% | 
 | 62   | Moltres-Galar      |  1.70503% | 33561  |  1.077% | 24677  |  1.014% | 
 | 63   | Latios             |  1.69895% | 67366  |  2.161% | 51733  |  2.126% | 
 | 64   | Gengar             |  1.63465% | 128276 |  4.116% | 93794  |  3.855% | 
 | 65   | Togekiss           |  1.63193% | 72533  |  2.327% | 54254  |  2.230% | 
 | 66   | Dracozolt          |  1.58346% | 61956  |  1.988% | 47586  |  1.956% | 
 | 67   | Reuniclus          |  1.42564% | 35366  |  1.135% | 25294  |  1.040% | 
 | 68   | Azumarill          |  1.38014% | 73159  |  2.347% | 56633  |  2.328% | 
