 Total battles: 1933053
 Avg. weight/team: 0.026
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Clefable           | 29.64992% | 770490 | 19.929% | 583784 | 19.318% | 
 | 2    | Cinderace          | 29.27539% | 1220002 | 31.556% | 977547 | 32.347% | 
 | 3    | Magearna           | 23.91493% | 493834 | 12.773% | 399629 | 13.224% | 
 | 4    | Dragapult          | 23.71313% | 913322 | 23.624% | 664587 | 21.991% | 
 | 5    | Toxapex            | 20.74145% | 525747 | 13.599% | 430922 | 14.259% | 
 | 6    | Excadrill          | 19.72972% | 605235 | 15.655% | 478842 | 15.845% | 
 | 7    | Mandibuzz          | 18.49076% | 379028 |  9.804% | 299598 |  9.914% | 
 | 8    | Zeraora            | 17.91282% | 685150 | 17.722% | 521612 | 17.260% | 
 | 9    | Corviknight        | 17.90854% | 693461 | 17.937% | 537484 | 17.785% | 
 | 10   | Rillaboom          | 16.96967% | 584857 | 15.128% | 478554 | 15.835% | 
 | 11   | Urshifu            | 15.70496% | 359845 |  9.308% | 285495 |  9.447% | 
 | 12   | Ferrothorn         | 15.60311% | 576226 | 14.905% | 489007 | 16.181% | 
 | 13   | Hippowdon          | 15.58952% | 311915 |  8.068% | 272261 |  9.009% | 
 | 14   | Volcarona          | 11.79776% | 425379 | 11.003% | 317702 | 10.513% | 
 | 15   | Hawlucha           | 11.09968% | 413213 | 10.688% | 285761 |  9.456% | 
 | 16   | Kommo-o            | 10.96509% | 310632 |  8.035% | 253285 |  8.381% | 
 | 17   | Hydreigon          | 10.74565% | 359804 |  9.307% | 271418 |  8.981% | 
 | 18   | Azumarill          | 10.17407% | 270543 |  6.998% | 214329 |  7.092% | 
 | 19   | Marowak-Alola      |  9.12650% | 319232 |  8.257% | 264786 |  8.762% | 
 | 20   | Rotom-Heat         |  9.07831% | 354897 |  9.180% | 296249 |  9.803% | 
 | 21   | Togekiss           |  8.98365% | 334468 |  8.651% | 256854 |  8.499% | 
 | 22   | Aegislash          |  8.80222% | 287675 |  7.441% | 220378 |  7.292% | 
 | 23   | Chansey            |  7.96585% | 162228 |  4.196% | 127293 |  4.212% | 
 | 24   | Slowbro            |  7.93264% | 197109 |  5.098% | 156255 |  5.171% | 
 | 25   | Bisharp            |  7.83151% | 280366 |  7.252% | 202259 |  6.693% | 
 | 26   | Tangrowth          |  7.39988% | 218028 |  5.639% | 176405 |  5.837% | 
 | 27   | Alakazam           |  7.19898% | 261563 |  6.766% | 181888 |  6.019% | 
 | 28   | Magnezone          |  7.12860% | 249702 |  6.459% | 201692 |  6.674% | 
 | 29   | Mew                |  7.11378% | 219591 |  5.680% | 181557 |  6.008% | 
 | 30   | Pelipper           |  6.64495% | 189831 |  4.910% | 175533 |  5.808% | 
 | 31   | Urshifu-Rapid-Strike |  6.35105% | 252820 |  6.539% | 202068 |  6.686% | 
 | 32   | Kyurem             |  5.78725% | 165204 |  4.273% | 121558 |  4.022% | 
 | 33   | Hatterene          |  5.46786% | 241771 |  6.254% | 190055 |  6.289% | 
 | 34   | Seismitoad         |  5.45403% | 252317 |  6.526% | 213168 |  7.054% | 
 | 35   | Conkeldurr         |  5.34328% | 299899 |  7.757% | 230793 |  7.637% | 
 | 36   | Primarina          |  5.21366% | 170867 |  4.420% | 136194 |  4.507% | 
 | 37   | Cloyster           |  4.78814% | 248428 |  6.426% | 178871 |  5.919% | 
 | 38   | Terrakion          |  4.57238% | 152903 |  3.955% | 129086 |  4.271% | 
 | 39   | Jirachi            |  4.39841% | 151022 |  3.906% | 119575 |  3.957% | 
 | 40   | Gengar             |  4.33942% | 248718 |  6.433% | 181097 |  5.993% | 
 | 41   | Crawdaunt          |  4.27177% | 134363 |  3.475% | 103964 |  3.440% | 
 | 42   | Grimmsnarl         |  4.24963% | 238278 |  6.163% | 196214 |  6.493% | 
 | 43   | Kingdra            |  3.39550% | 113939 |  2.947% | 87089  |  2.882% | 
 | 44   | Quagsire           |  3.35216% | 50094  |  1.296% | 39420  |  1.304% | 
 | 45   | Skarmory           |  3.25410% | 116278 |  3.008% | 98059  |  3.245% | 
 | 46   | Venusaur           |  3.22756% | 136424 |  3.529% | 106371 |  3.520% | 
 | 47   | Barraskewda        |  3.22427% | 97671  |  2.526% | 75366  |  2.494% | 
 | 48   | Scizor             |  3.15244% | 180124 |  4.659% | 143585 |  4.751% | 
 | 49   | Tyranitar          |  3.14129% | 201912 |  5.223% | 159862 |  5.290% | 
 | 50   | Amoonguss          |  3.06681% | 121057 |  3.131% | 96560  |  3.195% | 
 | 51   | Torkoal            |  2.78880% | 113833 |  2.944% | 105583 |  3.494% | 
 | 52   | Rotom-Wash         |  2.73589% | 144735 |  3.744% | 122431 |  4.051% | 
 | 53   | Ninetales-Alola    |  2.64952% | 110785 |  2.866% | 89100  |  2.948% | 
 | 54   | Reuniclus          |  2.50486% | 55087  |  1.425% | 42355  |  1.402% | 
 | 55   | Necrozma           |  2.48580% | 44076  |  1.140% | 32774  |  1.084% | 
 | 56   | Shuckle            |  2.45384% | 132595 |  3.430% | 121267 |  4.013% | 
 | 57   | Weezing-Galar      |  2.39655% | 78183  |  2.022% | 64750  |  2.143% | 
 | 58   | Mimikyu            |  2.33832% | 171388 |  4.433% | 123779 |  4.096% | 
 | 59   | Toxtricity         |  2.27783% | 120434 |  3.115% | 90728  |  3.002% | 
 | 60   | Inteleon           |  2.19084% | 151170 |  3.910% | 112420 |  3.720% | 
 | 61   | Lycanroc-Dusk      |  2.10393% | 127585 |  3.300% | 98244  |  3.251% | 
 | 62   | Keldeo             |  2.08795% | 87734  |  2.269% | 67149  |  2.222% | 
 | 63   | Talonflame         |  2.03941% | 84503  |  2.186% | 66349  |  2.196% | 
 | 64   | Gyarados           |  1.96731% | 129487 |  3.349% | 99720  |  3.300% | 
 | 65   | Slowbro-Galar      |  1.95249% | 117004 |  3.026% | 89970  |  2.977% | 
 | 66   | Heracross          |  1.90736% | 63855  |  1.652% | 47685  |  1.578% | 
 | 67   | Snorlax            |  1.89802% | 57324  |  1.483% | 43842  |  1.451% | 
 | 68   | Krookodile         |  1.88822% | 134032 |  3.467% | 108042 |  3.575% | 
 | 69   | Diggersby          |  1.84991% | 49522  |  1.281% | 38651  |  1.279% | 
 | 70   | Indeedee           |  1.79523% | 71210  |  1.842% | 58155  |  1.924% | 
 | 71   | Ditto              |  1.66212% | 78221  |  2.023% | 55760  |  1.845% | 
 | 72   | Weavile            |  1.63179% | 110202 |  2.850% | 82628  |  2.734% | 
 | 73   | Rhyperior          |  1.60378% | 44891  |  1.161% | 36257  |  1.200% | 
 | 74   | Mamoswine          |  1.50902% | 73780  |  1.908% | 59629  |  1.973% | 
 | 75   | Darmanitan         |  1.32354% | 71638  |  1.853% | 56706  |  1.876% | 
