 Total battles: 1415268
 Avg. weight/team: 0.018
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 47.63296% | 930976 | 32.890% | 800449 | 35.877% | 
 | 2    | Ferrothorn         | 23.58115% | 598825 | 21.156% | 518169 | 23.225% | 
 | 3    | Weavile            | 20.82309% | 393258 | 13.893% | 299989 | 13.446% | 
 | 4    | Heatran            | 20.71398% | 439095 | 15.513% | 364642 | 16.344% | 
 | 5    | Kartana            | 19.82242% | 440942 | 15.578% | 334246 | 14.981% | 
 | 6    | Garchomp           | 19.35181% | 456131 | 16.115% | 361507 | 16.203% | 
 | 7    | Dragapult          | 19.27023% | 515069 | 18.197% | 385431 | 17.275% | 
 | 8    | Tornadus-Therian   | 17.46712% | 277516 |  9.804% | 224915 | 10.081% | 
 | 9    | Tapu Lele          | 16.69881% | 322214 | 11.383% | 249061 | 11.163% | 
 | 10   | Melmetal           | 15.63030% | 291184 | 10.287% | 235191 | 10.542% | 
 | 11   | Tapu Fini          | 14.48628% | 318452 | 11.251% | 265848 | 11.916% | 
 | 12   | Zapdos             | 14.42724% | 309548 | 10.936% | 255795 | 11.465% | 
 | 13   | Corviknight        | 13.90195% | 364782 | 12.887% | 296353 | 13.283% | 
 | 14   | Toxapex            | 13.58507% | 334494 | 11.817% | 269385 | 12.074% | 
 | 15   | Urshifu-Rapid-Strike | 13.43371% | 342483 | 12.100% | 270038 | 12.103% | 
 | 16   | Clefable           | 11.90359% | 294979 | 10.421% | 226822 | 10.166% | 
 | 17   | Tapu Koko          | 10.89812% | 236782 |  8.365% | 193802 |  8.686% | 
 | 18   | Buzzwole           | 10.75862% | 182519 |  6.448% | 145216 |  6.509% | 
 | 19   | Rillaboom          |  9.14323% | 291339 | 10.293% | 224026 | 10.041% | 
 | 20   | Slowbro            |  8.99273% | 203830 |  7.201% | 166961 |  7.483% | 
 | 21   | Dragonite          |  8.67835% | 242069 |  8.552% | 180150 |  8.075% | 
 | 22   | Pelipper           |  7.94442% | 215512 |  7.614% | 198185 |  8.883% | 
 | 23   | Tyranitar          |  7.63950% | 209759 |  7.411% | 173623 |  7.782% | 
 | 24   | Zeraora            |  7.55181% | 202962 |  7.170% | 155136 |  6.953% | 
 | 25   | Blacephalon        |  7.46579% | 216007 |  7.631% | 161485 |  7.238% | 
 | 26   | Blissey            |  7.28210% | 231624 |  8.183% | 178961 |  8.021% | 
 | 27   | Volcarona          |  7.04208% | 263001 |  9.292% | 192665 |  8.635% | 
 | 28   | Slowking-Galar     |  6.91467% | 180324 |  6.371% | 145817 |  6.536% | 
 | 29   | Magnezone          |  6.76750% | 171690 |  6.066% | 136454 |  6.116% | 
 | 30   | Ninetales-Alola    |  6.74175% | 159147 |  5.623% | 136640 |  6.124% | 
 | 31   | Barraskewda        |  6.56534% | 188966 |  6.676% | 145881 |  6.539% | 
 | 32   | Mew                |  6.31956% | 151258 |  5.344% | 126535 |  5.671% | 
 | 33   | Regieleki          |  6.23600% | 234347 |  8.279% | 179539 |  8.047% | 
 | 34   | Zapdos-Galar       |  5.87537% | 168322 |  5.947% | 129432 |  5.801% | 
 | 35   | Victini            |  5.62130% | 131727 |  4.654% | 105458 |  4.727% | 
 | 36   | Volcanion          |  5.02198% | 81544  |  2.881% | 67704  |  3.035% | 
 | 37   | Slowking           |  4.98397% | 77009  |  2.721% | 63489  |  2.846% | 
 | 38   | Bisharp            |  4.53686% | 177588 |  6.274% | 132636 |  5.945% | 
 | 39   | Nidoking           |  4.43484% | 118099 |  4.172% | 95320  |  4.272% | 
 | 40   | Hippowdon          |  4.36144% | 108381 |  3.829% | 94767  |  4.248% | 
 | 41   | Rotom-Wash         |  4.13548% | 120399 |  4.254% | 104638 |  4.690% | 
 | 42   | Seismitoad         |  4.04742% | 89525  |  3.163% | 73271  |  3.284% | 
 | 43   | Celesteela         |  3.86898% | 75573  |  2.670% | 60283  |  2.702% | 
 | 44   | Moltres-Galar      |  3.64730% | 62415  |  2.205% | 44945  |  2.014% | 
 | 45   | Scizor             |  3.50791% | 179267 |  6.333% | 137875 |  6.180% | 
 | 46   | Nihilego           |  3.46232% | 63785  |  2.253% | 47684  |  2.137% | 
 | 47   | Hawlucha           |  3.38870% | 121583 |  4.295% | 86246  |  3.866% | 
 | 48   | Excadrill          |  3.36798% | 130305 |  4.604% | 98982  |  4.436% | 
 | 49   | Blaziken           |  3.21357% | 138484 |  4.893% | 102513 |  4.595% | 
 | 50   | Mandibuzz          |  3.08714% | 72471  |  2.560% | 57377  |  2.572% | 
 | 51   | Aegislash          |  2.90743% | 83854  |  2.962% | 64891  |  2.908% | 
 | 52   | Crawdaunt          |  2.89309% | 63129  |  2.230% | 48652  |  2.181% | 
 | 53   | Swampert           |  2.83948% | 95261  |  3.365% | 83571  |  3.746% | 
 | 54   | Arctozolt          |  2.52447% | 61306  |  2.166% | 47985  |  2.151% | 
 | 55   | Hydreigon          |  2.46235% | 83881  |  2.963% | 64255  |  2.880% | 
 | 56   | Skarmory           |  2.34636% | 59965  |  2.119% | 51713  |  2.318% | 
 | 57   | Hatterene          |  2.24168% | 73680  |  2.603% | 60346  |  2.705% | 
 | 58   | Kommo-o            |  2.23011% | 80844  |  2.856% | 62274  |  2.791% | 
 | 59   | Cloyster           |  2.10926% | 75107  |  2.653% | 54900  |  2.461% | 
 | 60   | Jirachi            |  2.02086% | 64343  |  2.273% | 50580  |  2.267% | 
 | 61   | Gengar             |  1.94471% | 105705 |  3.734% | 77034  |  3.453% | 
 | 62   | Reuniclus          |  1.64146% | 35776  |  1.264% | 26034  |  1.167% | 
 | 63   | Mamoswine          |  1.63496% | 72341  |  2.556% | 57937  |  2.597% | 
 | 64   | Tapu Bulu          |  1.61549% | 31341  |  1.107% | 24983  |  1.120% | 
 | 65   | Latios             |  1.58550% | 68693  |  2.427% | 53065  |  2.378% | 
 | 66   | Torkoal            |  1.56457% | 58904  |  2.081% | 53982  |  2.420% | 
