 Total battles: 1430413
 Avg. weight/team: 0.022
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 46.74954% | 975273 | 34.091% | 837519 | 36.965% | 
 | 2    | Ferrothorn         | 23.16372% | 630354 | 22.034% | 546224 | 24.108% | 
 | 3    | Heatran            | 22.95939% | 465558 | 16.274% | 388441 | 17.144% | 
 | 4    | Dragapult          | 20.12745% | 529435 | 18.506% | 400495 | 17.676% | 
 | 5    | Kartana            | 18.42323% | 430698 | 15.055% | 325957 | 14.387% | 
 | 6    | Weavile            | 18.15246% | 388990 | 13.597% | 301104 | 13.290% | 
 | 7    | Garchomp           | 16.47482% | 415030 | 14.507% | 328052 | 14.479% | 
 | 8    | Clefable           | 16.08206% | 316408 | 11.060% | 246071 | 10.861% | 
 | 9    | Zapdos             | 15.07928% | 316250 | 11.054% | 261874 | 11.558% | 
 | 10   | Corviknight        | 14.43630% | 360267 | 12.593% | 291174 | 12.851% | 
 | 11   | Tapu Lele          | 14.35757% | 289123 | 10.106% | 225113 |  9.936% | 
 | 12   | Tornadus-Therian   | 14.31732% | 264231 |  9.236% | 213023 |  9.402% | 
 | 13   | Melmetal           | 14.12396% | 304763 | 10.653% | 244116 | 10.774% | 
 | 14   | Urshifu-Rapid-Strike | 13.73475% | 326525 | 11.414% | 260187 | 11.484% | 
 | 15   | Tapu Fini          | 12.94378% | 307529 | 10.750% | 259373 | 11.448% | 
 | 16   | Toxapex            | 12.81986% | 319333 | 11.162% | 257498 | 11.365% | 
 | 17   | Tapu Koko          | 11.13769% | 258797 |  9.046% | 213254 |  9.412% | 
 | 18   | Slowbro            |  9.81571% | 225732 |  7.890% | 185956 |  8.207% | 
 | 19   | Buzzwole           |  9.03241% | 202839 |  7.090% | 159835 |  7.055% | 
 | 20   | Blissey            |  8.51874% | 227755 |  7.961% | 178835 |  7.893% | 
 | 21   | Tyranitar          |  8.50517% | 221638 |  7.747% | 185196 |  8.174% | 
 | 22   | Rillaboom          |  8.44472% | 300157 | 10.492% | 230370 | 10.168% | 
 | 23   | Blacephalon        |  8.26778% | 237413 |  8.299% | 176601 |  7.795% | 
 | 24   | Dragonite          |  8.09022% | 232486 |  8.127% | 172854 |  7.629% | 
 | 25   | Slowking-Galar     |  6.87508% | 181092 |  6.330% | 146521 |  6.467% | 
 | 26   | Zeraora            |  6.77944% | 203118 |  7.100% | 154817 |  6.833% | 
 | 27   | Magnezone          |  6.55333% | 168315 |  5.883% | 133477 |  5.891% | 
 | 28   | Mew                |  6.34451% | 177593 |  6.208% | 150021 |  6.621% | 
 | 29   | Volcarona          |  6.21089% | 246964 |  8.633% | 181514 |  8.011% | 
 | 30   | Ninetales-Alola    |  5.98793% | 150941 |  5.276% | 130103 |  5.742% | 
 | 31   | Volcanion          |  5.68088% | 160549 |  5.612% | 130478 |  5.759% | 
 | 32   | Pelipper           |  5.54325% | 215867 |  7.546% | 199264 |  8.795% | 
 | 33   | Excadrill          |  5.30669% | 137020 |  4.790% | 105082 |  4.638% | 
 | 34   | Blaziken           |  5.26462% | 126502 |  4.422% | 94547  |  4.173% | 
 | 35   | Zapdos-Galar       |  4.83810% | 161099 |  5.631% | 124628 |  5.501% | 
 | 36   | Victini            |  4.81204% | 137978 |  4.823% | 111337 |  4.914% | 
 | 37   | Nidoking           |  4.78065% | 127423 |  4.454% | 102718 |  4.534% | 
 | 38   | Rotom-Wash         |  4.75073% | 115309 |  4.031% | 100709 |  4.445% | 
 | 39   | Bisharp            |  4.70401% | 165587 |  5.788% | 124471 |  5.494% | 
 | 40   | Regieleki          |  4.39789% | 199073 |  6.959% | 151878 |  6.703% | 
 | 41   | Barraskewda        |  4.28165% | 184036 |  6.433% | 141163 |  6.230% | 
 | 42   | Slowking           |  4.25218% | 82917  |  2.898% | 67299  |  2.970% | 
 | 43   | Hippowdon          |  4.04719% | 86089  |  3.009% | 75814  |  3.346% | 
 | 44   | Nihilego           |  3.91828% | 72840  |  2.546% | 54578  |  2.409% | 
 | 45   | Gastrodon          |  3.80734% | 52962  |  1.851% | 43160  |  1.905% | 
 | 46   | Celesteela         |  3.57409% | 66505  |  2.325% | 53074  |  2.342% | 
 | 47   | Aegislash          |  3.56722% | 86121  |  3.010% | 67527  |  2.980% | 
 | 48   | Mandibuzz          |  3.41859% | 79217  |  2.769% | 64164  |  2.832% | 
 | 49   | Hawlucha           |  3.41060% | 111954 |  3.913% | 78927  |  3.484% | 
 | 50   | Swampert           |  3.06374% | 108418 |  3.790% | 95612  |  4.220% | 
 | 51   | Cloyster           |  2.95291% | 77370  |  2.704% | 56843  |  2.509% | 
 | 52   | Hydreigon          |  2.89656% | 89710  |  3.136% | 69965  |  3.088% | 
 | 53   | Crawdaunt          |  2.88205% | 64224  |  2.245% | 49088  |  2.167% | 
 | 54   | Arctozolt          |  2.75487% | 49204  |  1.720% | 38470  |  1.698% | 
 | 55   | Seismitoad         |  2.71463% | 86962  |  3.040% | 71350  |  3.149% | 
 | 56   | Hatterene          |  2.66620% | 81927  |  2.864% | 68479  |  3.022% | 
 | 57   | Scizor             |  2.60649% | 110106 |  3.849% | 86019  |  3.797% | 
 | 58   | Moltres-Galar      |  2.60270% | 63410  |  2.216% | 46814  |  2.066% | 
 | 59   | Mamoswine          |  2.59761% | 73541  |  2.571% | 59708  |  2.635% | 
 | 60   | Skarmory           |  2.50132% | 62467  |  2.184% | 53504  |  2.361% | 
 | 61   | Tangrowth          |  2.49954% | 58655  |  2.050% | 47657  |  2.103% | 
 | 62   | Torkoal            |  2.32046% | 80968  |  2.830% | 72901  |  3.218% | 
 | 63   | Kommo-o            |  2.30562% | 80021  |  2.797% | 60659  |  2.677% | 
 | 64   | Gengar             |  2.09824% | 105699 |  3.695% | 77382  |  3.415% | 
 | 65   | Jirachi            |  2.08190% | 62216  |  2.175% | 48659  |  2.148% | 
 | 66   | Polteageist        |  1.86666% | 40940  |  1.431% | 28395  |  1.253% | 
 | 67   | Tapu Bulu          |  1.80500% | 33206  |  1.161% | 26308  |  1.161% | 
 | 68   | Latios             |  1.78975% | 68314  |  2.388% | 53108  |  2.344% | 
 | 69   | Venusaur           |  1.71239% | 62286  |  2.177% | 48148  |  2.125% | 
 | 70   | Marowak-Alola      |  1.57274% | 43588  |  1.524% | 33714  |  1.488% | 
 | 71   | Chansey            |  1.54411% | 40838  |  1.427% | 31530  |  1.392% | 
 | 72   | Keldeo             |  1.49707% | 31790  |  1.111% | 25570  |  1.129% | 
 | 73   | Necrozma           |  1.48505% | 19751  |  0.690% | 14956  |  0.660% | 
 | 74   | Reuniclus          |  1.47157% | 29675  |  1.037% | 21915  |  0.967% | 
 | 75   | Porygon2           |  1.35432% | 48877  |  1.708% | 39935  |  1.763% | 
 | 76   | Thundurus-Therian  |  1.33103% | 41906  |  1.465% | 33100  |  1.461% | 
 | 77   | Azumarill          |  1.32906% | 55138  |  1.927% | 43296  |  1.911% | 
 | 78   | Dracozolt          |  1.30626% | 49711  |  1.738% | 38211  |  1.686% | 
 | 79   | Cresselia          |  1.26024% | 30907  |  1.080% | 23411  |  1.033% | 
 | 80   | Moltres            |  1.25790% | 29653  |  1.037% | 24576  |  1.085% | 
 | 81   | Alakazam           |  1.23068% | 60150  |  2.103% | 42087  |  1.858% | 
 | 82   | Grimmsnarl         |  1.19711% | 54696  |  1.912% | 46596  |  2.057% | 
 | 83   | Heliolisk          |  1.11448% | 35060  |  1.226% | 25938  |  1.145% | 
 | 84   | Suicune            |  1.06335% | 19134  |  0.669% | 15318  |  0.676% | 
 | 85   | Terrakion          |  0.98516% | 27463  |  0.960% | 20899  |  0.922% | 
 | 86   | Ditto              |  0.96941% | 39109  |  1.367% | 27429  |  1.211% | 
 | 87   | Kingdra            |  0.93444% | 32165  |  1.124% | 24254  |  1.070% | 
 | 88   | Quagsire           |  0.92585% | 33061  |  1.156% | 25288  |  1.116% | 
 | 89   | Espeon             |  0.92139% | 31570  |  1.104% | 23496  |  1.037% | 
 | 90   | Umbreon            |  0.90295% | 44828  |  1.567% | 33745  |  1.489% | 
 | 91   | Primarina          |  0.88683% | 22900  |  0.800% | 18340  |  0.809% | 
 | 92   | Klefki             |  0.85937% | 19007  |  0.664% | 16393  |  0.724% | 
 | 93   | Omastar            |  0.85063% | 10454  |  0.365% | 7591   |  0.335% | 
 | 94   | Togekiss           |  0.78075% | 65394  |  2.286% | 49955  |  2.205% | 
 | 95   | Xatu               |  0.77174% | 13345  |  0.466% | 10438  |  0.461% | 
 | 96   | Latias             |  0.76878% | 32766  |  1.145% | 24654  |  1.088% | 
 | 97   | Slurpuff           |  0.72436% | 29823  |  1.042% | 24218  |  1.069% | 
 | 98   | Starmie            |  0.67994% | 19516  |  0.682% | 14964  |  0.660% | 
