 Total battles: 1290204
 Avg. weight/team: 0.026
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 43.42798% | 803255 | 31.129% | 691663 | 34.148% | 
 | 2    | Dragapult          | 21.47200% | 527817 | 20.455% | 393941 | 19.449% | 
 | 3    | Corviknight        | 20.72526% | 412838 | 15.999% | 336418 | 16.609% | 
 | 4    | Ferrothorn         | 20.40062% | 469717 | 18.203% | 406346 | 20.062% | 
 | 5    | Garchomp           | 17.81061% | 405379 | 15.710% | 321680 | 15.882% | 
 | 6    | Heatran            | 16.57439% | 373058 | 14.457% | 307811 | 15.197% | 
 | 7    | Melmetal           | 15.50571% | 263401 | 10.208% | 214167 | 10.574% | 
 | 8    | Kartana            | 15.07405% | 321978 | 12.478% | 244178 | 12.055% | 
 | 9    | Toxapex            | 14.95109% | 283160 | 10.973% | 228443 | 11.278% | 
 | 10   | Tapu Lele          | 14.77956% | 251038 |  9.729% | 191400 |  9.450% | 
 | 11   | Weavile            | 14.08340% | 270507 | 10.483% | 204034 | 10.073% | 
 | 12   | Tapu Fini          | 13.54876% | 271806 | 10.533% | 228286 | 11.271% | 
 | 13   | Urshifu-Rapid-Strike | 13.52455% | 320158 | 12.407% | 253176 | 12.500% | 
 | 14   | Clefable           | 13.23949% | 284251 | 11.016% | 217853 | 10.756% | 
 | 15   | Kyurem             | 11.72131% | 211530 |  8.198% | 159678 |  7.883% | 
 | 16   | Tornadus-Therian   | 10.76542% | 152822 |  5.922% | 121230 |  5.985% | 
 | 17   | Dragonite          | 10.42823% | 246281 |  9.544% | 182420 |  9.006% | 
 | 18   | Zapdos             | 10.11695% | 243381 |  9.432% | 198348 |  9.793% | 
 | 19   | Tapu Koko          |  9.70943% | 230586 |  8.936% | 191379 |  9.449% | 
 | 20   | Slowking-Galar     |  9.54631% | 190443 |  7.380% | 153355 |  7.571% | 
 | 21   | Magnezone          |  9.37421% | 189588 |  7.347% | 149491 |  7.381% | 
 | 22   | Volcarona          |  9.17960% | 260969 | 10.113% | 189496 |  9.356% | 
 | 23   | Rillaboom          |  8.98774% | 239660 |  9.288% | 182805 |  9.025% | 
 | 24   | Mew                |  8.49124% | 191190 |  7.409% | 155905 |  7.697% | 
 | 25   | Blissey            |  8.15345% | 214737 |  8.322% | 165973 |  8.194% | 
 | 26   | Zeraora            |  8.02234% | 211403 |  8.193% | 161347 |  7.966% | 
 | 27   | Zapdos-Galar       |  7.55277% | 140279 |  5.436% | 110503 |  5.456% | 
 | 28   | Slowbro            |  7.35965% | 153648 |  5.954% | 123916 |  6.118% | 
 | 29   | Bisharp            |  7.33117% | 189632 |  7.349% | 141955 |  7.008% | 
 | 30   | Tyranitar          |  7.27621% | 193789 |  7.510% | 159809 |  7.890% | 
 | 31   | Blacephalon        |  7.22460% | 195124 |  7.562% | 147660 |  7.290% | 
 | 32   | Victini            |  7.06212% | 133219 |  5.163% | 107162 |  5.291% | 
 | 33   | Scizor             |  6.56322% | 180094 |  6.979% | 141431 |  6.983% | 
 | 34   | Regieleki          |  6.48987% | 137339 |  5.322% | 104718 |  5.170% | 
 | 35   | Buzzwole           |  6.48888% | 134014 |  5.194% | 105048 |  5.186% | 
 | 36   | Hippowdon          |  6.48158% | 115647 |  4.482% | 100504 |  4.962% | 
 | 37   | Pelipper           |  6.29782% | 161345 |  6.253% | 146878 |  7.252% | 
 | 38   | Barraskewda        |  4.71449% | 140399 |  5.441% | 107391 |  5.302% | 
 | 39   | Ninetales-Alola    |  4.45662% | 126383 |  4.898% | 109170 |  5.390% | 
 | 40   | Hawlucha           |  4.01676% | 111969 |  4.339% | 79659  |  3.933% | 
 | 41   | Hatterene          |  3.83727% | 84219  |  3.264% | 70650  |  3.488% | 
 | 42   | Mandibuzz          |  3.62394% | 82621  |  3.202% | 65743  |  3.246% | 
 | 43   | Volcanion          |  3.61914% | 60213  |  2.333% | 49352  |  2.437% | 
 | 44   | Excadrill          |  3.49903% | 127217 |  4.930% | 96533  |  4.766% | 
 | 45   | Skarmory           |  3.42572% | 68876  |  2.669% | 58853  |  2.906% | 
 | 46   | Nidoking           |  3.42373% | 78398  |  3.038% | 62030  |  3.062% | 
 | 47   | Aegislash          |  3.25655% | 77926  |  3.020% | 60424  |  2.983% | 
 | 48   | Rotom-Wash         |  3.21404% | 91468  |  3.545% | 78866  |  3.894% | 
 | 49   | Crawdaunt          |  3.15469% | 63880  |  2.476% | 48958  |  2.417% | 
 | 50   | Porygon2           |  2.92811% | 55401  |  2.147% | 45711  |  2.257% | 
 | 51   | Swampert           |  2.91352% | 83054  |  3.219% | 71734  |  3.542% | 
 | 52   | Blaziken           |  2.69821% | 107757 |  4.176% | 79974  |  3.948% | 
 | 53   | Slowking           |  2.64349% | 56786  |  2.201% | 45856  |  2.264% | 
 | 54   | Marowak-Alola      |  2.63570% | 53871  |  2.088% | 42377  |  2.092% | 
 | 55   | Mamoswine          |  2.63226% | 72095  |  2.794% | 58551  |  2.891% | 
 | 56   | Seismitoad         |  2.54878% | 57701  |  2.236% | 47486  |  2.344% | 
 | 57   | Moltres-Galar      |  2.51575% | 37293  |  1.445% | 27572  |  1.361% | 
 | 58   | Arctozolt          |  2.45533% | 62164  |  2.409% | 48756  |  2.407% | 
 | 59   | Hydreigon          |  2.43316% | 73154  |  2.835% | 55658  |  2.748% | 
 | 60   | Torkoal            |  2.41727% | 65811  |  2.550% | 59911  |  2.958% | 
 | 61   | Dracozolt          |  2.41509% | 52215  |  2.024% | 39893  |  1.970% | 
 | 62   | Latios             |  2.30509% | 67269  |  2.607% | 52016  |  2.568% | 
 | 63   | Chansey            |  2.30498% | 51591  |  1.999% | 39202  |  1.935% | 
 | 64   | Cresselia          |  2.27792% | 36621  |  1.419% | 28015  |  1.383% | 
 | 65   | Nihilego           |  2.26073% | 40606  |  1.574% | 31045  |  1.533% | 
 | 66   | Gengar             |  2.02944% | 110549 |  4.284% | 81235  |  4.011% | 
 | 67   | Gastrodon          |  1.82648% | 38795  |  1.503% | 30868  |  1.524% | 
 | 68   | Celesteela         |  1.79457% | 50860  |  1.971% | 41171  |  2.033% | 
 | 69   | Kommo-o            |  1.74578% | 47087  |  1.825% | 35872  |  1.771% | 
 | 70   | Jirachi            |  1.64944% | 65833  |  2.551% | 52597  |  2.597% | 
 | 71   | Suicune            |  1.64694% | 25818  |  1.001% | 20178  |  0.996% | 
 | 72   | Tangrowth          |  1.64368% | 43327  |  1.679% | 34420  |  1.699% | 
 | 73   | Cloyster           |  1.48984% | 61117  |  2.369% | 45074  |  2.225% | 
 | 74   | Venusaur           |  1.47550% | 64231  |  2.489% | 48492  |  2.394% | 
 | 75   | Kingdra            |  1.44051% | 31552  |  1.223% | 23950  |  1.182% | 
 | 76   | Keldeo             |  1.40615% | 37426  |  1.450% | 29793  |  1.471% | 
 | 77   | Quagsire           |  1.37848% | 38559  |  1.494% | 29848  |  1.474% | 
 | 78   | Azumarill          |  1.35210% | 48230  |  1.869% | 37507  |  1.852% | 
 | 79   | Alakazam           |  1.27517% | 49177  |  1.906% | 33822  |  1.670% | 
 | 80   | Necrozma           |  1.09161% | 16700  |  0.647% | 12624  |  0.623% | 
 | 81   | Rotom-Heat         |  1.06489% | 41256  |  1.599% | 33874  |  1.672% | 
 | 82   | Lycanroc-Dusk      |  1.05291% | 21126  |  0.819% | 16114  |  0.796% | 
 | 83   | Moltres            |  1.02859% | 41046  |  1.591% | 33672  |  1.662% | 
 | 84   | Tapu Bulu          |  0.97086% | 24321  |  0.943% | 19300  |  0.953% | 
 | 85   | Latias             |  0.96386% | 29804  |  1.155% | 22296  |  1.101% | 
 | 86   | Conkeldurr         |  0.91414% | 46074  |  1.786% | 35718  |  1.763% | 
 | 87   | Umbreon            |  0.91220% | 41665  |  1.615% | 30993  |  1.530% | 
 | 88   | Thundurus-Therian  |  0.90646% | 33252  |  1.289% | 25990  |  1.283% | 
 | 89   | Krookodile         |  0.90573% | 34979  |  1.356% | 27678  |  1.366% | 
 | 90   | Terrakion          |  0.88725% | 24871  |  0.964% | 19119  |  0.944% | 
 | 91   | Shedinja           |  0.86970% | 19570  |  0.758% | 13655  |  0.674% | 
 | 92   | Reuniclus          |  0.86827% | 21783  |  0.844% | 15760  |  0.778% | 
 | 93   | Amoonguss          |  0.85643% | 28619  |  1.109% | 22349  |  1.103% | 
 | 94   | Togekiss           |  0.85379% | 53338  |  2.067% | 40634  |  2.006% | 
 | 95   | Grimmsnarl         |  0.84794% | 51877  |  2.010% | 43113  |  2.129% | 
 | 96   | Ditto              |  0.77406% | 44203  |  1.713% | 31554  |  1.558% | 
 | 97   | Glastrier          |  0.75701% | 13036  |  0.505% | 9657   |  0.477% | 
 | 98   | Zarude             |  0.73101% | 26241  |  1.017% | 20052  |  0.990% | 
 | 99   | Politoed           |  0.71201% | 19482  |  0.755% | 17237  |  0.851% | 
 | 100  | Mimikyu            |  0.70917% | 40430  |  1.567% | 29072  |  1.435% | 
 | 101  | Polteageist        |  0.67035% | 25477  |  0.987% | 18021  |  0.890% | 
 | 102  | Raichu-Alola       |  0.66900% | 19847  |  0.769% | 14480  |  0.715% | 
 | 103  | Gyarados           |  0.62383% | 47357  |  1.835% | 35855  |  1.770% | 
 | 104  | Heliolisk          |  0.62359% | 12850  |  0.498% | 9636   |  0.476% | 
 | 105  | Ribombee           |  0.58324% | 19864  |  0.770% | 17697  |  0.874% | 
 | 106  | Slurpuff           |  0.57261% | 25575  |  0.991% | 20548  |  1.014% | 
 | 107  | Toxtricity         |  0.55754% | 20244  |  0.785% | 14929  |  0.737% | 
 | 108  | Mudsdale           |  0.54631% | 5106   |  0.198% | 4225   |  0.209% | 
 | 109  | Diggersby          |  0.52081% | 17108  |  0.663% | 13133  |  0.648% | 
 | 110  | Entei              |  0.50182% | 19431  |  0.753% | 15464  |  0.763% | 
 | 111  | Shuckle            |  0.49299% | 45263  |  1.754% | 39882  |  1.969% | 
 | 112  | Primarina          |  0.48881% | 23853  |  0.924% | 18980  |  0.937% | 
 | 113  | Salamence          |  0.48415% | 42868  |  1.661% | 31545  |  1.557% | 
 | 114  | Klefki             |  0.48138% | 19382  |  0.751% | 16852  |  0.832% | 
 | 115  | Espeon             |  0.47172% | 24267  |  0.940% | 18000  |  0.889% | 
 | 116  | Gigalith           |  0.46795% | 9315   |  0.361% | 7712   |  0.381% | 
 | 117  | Incineroar         |  0.46624% | 32362  |  1.254% | 26736  |  1.320% | 
 | 118  | Snorlax            |  0.44120% | 34814  |  1.349% | 27170  |  1.341% | 
 | 119  | Rhyperior          |  0.43614% | 18815  |  0.729% | 14696  |  0.726% | 
 | 120  | Darmanitan         |  0.40657% | 27354  |  1.060% | 20586  |  1.016% | 
 | 121  | Avalugg            |  0.40437% | 8001   |  0.310% | 6058   |  0.299% | 
 | 122  | Starmie            |  0.36881% | 16294  |  0.631% | 12396  |  0.612% | 
 | 123  | Regidrago          |  0.34996% | 13395  |  0.519% | 9778   |  0.483% | 
 | 124  | Omastar            |  0.34658% | 7886   |  0.306% | 5691   |  0.281% | 
 | 125  | Araquanid          |  0.32200% | 21078  |  0.817% | 18203  |  0.899% | 
 | 126  | Xatu               |  0.32053% | 13421  |  0.520% | 10838  |  0.535% | 
 | 127  | Registeel          |  0.29999% | 8912   |  0.345% | 7148   |  0.353% | 
 | 128  | Scyther            |  0.29482% | 7322   |  0.284% | 5452   |  0.269% | 
 | 129  | Charizard          |  0.29400% | 34904  |  1.353% | 26167  |  1.292% | 
 | 130  | Zygarde-10%        |  0.29194% | 12253  |  0.475% | 9446   |  0.466% | 
 | 131  | Thundurus          |  0.27171% | 17047  |  0.661% | 13331  |  0.658% | 
 | 132  | Gardevoir          |  0.26161% | 22528  |  0.873% | 16194  |  0.800% | 
 | 133  | Scolipede          |  0.25406% | 14520  |  0.563% | 10814  |  0.534% | 
 | 134  | Flygon             |  0.24945% | 13649  |  0.529% | 10114  |  0.499% | 
 | 135  | Rhydon             |  0.24902% | 2934   |  0.114% | 2360   |  0.117% | 
 | 136  | Zoroark            |  0.23499% | 25229  |  0.978% | 10079  |  0.498% | 
 | 137  | Obstagoon          |  0.23225% | 20224  |  0.784% | 15553  |  0.768% | 
 | 138  | Stakataka          |  0.22897% | 13700  |  0.531% | 10594  |  0.523% | 
 | 139  | Azelf              |  0.22705% | 18536  |  0.718% | 16450  |  0.812% | 
 | 140  | Haxorus            |  0.22513% | 19470  |  0.755% | 13460  |  0.665% | 
 | 141  | Metagross          |  0.22191% | 31773  |  1.231% | 24188  |  1.194% | 
 | 142  | Raikou             |  0.20233% | 11208  |  0.434% | 8439   |  0.417% | 
 | 143  | Jynx               |  0.19735% | 2665   |  0.103% | 1983   |  0.098% | 
 | 144  | Lucario            |  0.19713% | 32138  |  1.245% | 23539  |  1.162% | 
 | 145  | Milotic            |  0.19612% | 30418  |  1.179% | 23207  |  1.146% | 
 | 146  | Xurkitree          |  0.19412% | 15007  |  0.582% | 10993  |  0.543% | 
 | 147  | Weezing-Galar      |  0.19116% | 15608  |  0.605% | 12583  |  0.621% | 
 | 148  | Dhelmise           |  0.18999% | 6985   |  0.271% | 5179   |  0.256% | 
 | 149  | Sirfetch'd         |  0.18570% | 7673   |  0.297% | 5860   |  0.289% | 
 | 150  | Galvantula         |  0.18400% | 33188  |  1.286% | 29742  |  1.468% | 
 | 151  | Steelix            |  0.18194% | 10818  |  0.419% | 8632   |  0.426% | 
 | 152  | Blastoise          |  0.18096% | 21992  |  0.852% | 16415  |  0.810% | 
 | 153  | Nidoqueen          |  0.18000% | 5966   |  0.231% | 4919   |  0.243% | 
 | 154  | Tentacruel         |  0.17503% | 24097  |  0.934% | 18687  |  0.923% | 
 | 155  | Diancie            |  0.17268% | 7666   |  0.297% | 5907   |  0.292% | 
 | 156  | Articuno-Galar     |  0.17171% | 7791   |  0.302% | 5624   |  0.278% | 
 | 157  | Porygon-Z          |  0.17150% | 15618  |  0.605% | 12018  |  0.593% | 
 | 158  | Aerodactyl         |  0.15982% | 8940   |  0.346% | 7346   |  0.363% | 
 | 159  | Vaporeon           |  0.15770% | 10972  |  0.425% | 8416   |  0.416% | 
