 Total battles: 1574044
 Avg. weight/team: 0.01
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 44.68768% | 1018310 | 32.347% | 877763 | 35.218% | 
 | 2    | Dragapult          | 26.36385% | 631907 | 20.073% | 479061 | 19.221% | 
 | 3    | Melmetal           | 21.53529% | 429056 | 13.629% | 351399 | 14.099% | 
 | 4    | Heatran            | 20.32421% | 521295 | 16.559% | 435007 | 17.453% | 
 | 5    | Zapdos             | 19.65221% | 433190 | 13.760% | 358004 | 14.364% | 
 | 6    | Ferrothorn         | 19.33288% | 672654 | 21.367% | 580877 | 23.306% | 
 | 7    | Garchomp           | 19.28575% | 550851 | 17.498% | 432599 | 17.357% | 
 | 8    | Kartana            | 19.13090% | 467093 | 14.837% | 351802 | 14.115% | 
 | 9    | Weavile            | 18.56770% | 436669 | 13.871% | 329039 | 13.202% | 
 | 10   | Tapu Lele          | 17.76219% | 362818 | 11.525% | 279594 | 11.218% | 
 | 11   | Urshifu-Rapid-Strike | 16.66650% | 411506 | 13.072% | 329159 | 13.207% | 
 | 12   | Rillaboom          | 15.44473% | 400962 | 12.737% | 309438 | 12.415% | 
 | 13   | Clefable           | 14.86339% | 385620 | 12.249% | 301803 | 12.109% | 
 | 14   | Corviknight        | 12.19797% | 369307 | 11.731% | 301825 | 12.110% | 
 | 15   | Tornadus-Therian   | 12.17739% | 289128 |  9.184% | 234819 |  9.421% | 
 | 16   | Toxapex            | 12.12524% | 347010 | 11.023% | 281448 | 11.292% | 
 | 17   | Tyranitar          |  9.82057% | 294554 |  9.357% | 244867 |  9.825% | 
 | 18   | Tapu Fini          |  9.20963% | 255790 |  8.125% | 212174 |  8.513% | 
 | 19   | Tapu Koko          |  8.97287% | 260044 |  8.260% | 210975 |  8.465% | 
 | 20   | Slowbro            |  8.75512% | 233521 |  7.418% | 190847 |  7.657% | 
 | 21   | Blacephalon        |  8.28752% | 252513 |  8.021% | 187508 |  7.523% | 
 | 22   | Blaziken           |  7.67964% | 181006 |  5.750% | 135365 |  5.431% | 
 | 23   | Mew                |  7.48110% | 214829 |  6.824% | 183303 |  7.355% | 
 | 24   | Slowking-Galar     |  7.12709% | 193969 |  6.161% | 155551 |  6.241% | 
 | 25   | Buzzwole           |  7.02633% | 196193 |  6.232% | 155466 |  6.238% | 
 | 26   | Volcanion          |  6.79466% | 167996 |  5.336% | 137035 |  5.498% | 
 | 27   | Dragonite          |  6.37433% | 249531 |  7.926% | 185546 |  7.445% | 
 | 28   | Blissey            |  6.00424% | 238172 |  7.566% | 186106 |  7.467% | 
 | 29   | Volcarona          |  5.97358% | 252313 |  8.015% | 185113 |  7.427% | 
 | 30   | Rotom-Wash         |  5.95644% | 177467 |  5.637% | 155446 |  6.237% | 
 | 31   | Pelipper           |  5.90781% | 254756 |  8.092% | 232748 |  9.338% | 
 | 32   | Ninetales-Alola    |  5.86760% | 177171 |  5.628% | 152142 |  6.104% | 
 | 33   | Excadrill          |  5.74061% | 189128 |  6.008% | 142885 |  5.733% | 
 | 34   | Victini            |  5.48550% | 151977 |  4.828% | 122986 |  4.934% | 
 | 35   | Zeraora            |  4.96645% | 192498 |  6.115% | 146485 |  5.877% | 
 | 36   | Crawdaunt          |  4.96000% | 137257 |  4.360% | 100897 |  4.048% | 
 | 37   | Magnezone          |  4.91791% | 156258 |  4.964% | 122843 |  4.929% | 
 | 38   | Barraskewda        |  4.90087% | 217394 |  6.906% | 166623 |  6.685% | 
 | 39   | Hawlucha           |  4.44088% | 109867 |  3.490% | 77637  |  3.115% | 
 | 40   | Bisharp            |  4.18860% | 163882 |  5.206% | 124213 |  4.984% | 
 | 41   | Celesteela         |  4.16160% | 97532  |  3.098% | 77150  |  3.095% | 
 | 42   | Hydreigon          |  4.00943% | 86179  |  2.738% | 67637  |  2.714% | 
 | 43   | Aegislash          |  3.90712% | 104053 |  3.305% | 80755  |  3.240% | 
 | 44   | Zapdos-Galar       |  3.76638% | 101947 |  3.238% | 79098  |  3.174% | 
 | 45   | Skarmory           |  3.75575% | 76414  |  2.427% | 65933  |  2.645% | 
 | 46   | Mandibuzz          |  3.66178% | 67597  |  2.147% | 53871  |  2.161% | 
 | 47   | Seismitoad         |  3.59860% | 108181 |  3.436% | 88606  |  3.555% | 
 | 48   | Hippowdon          |  3.51654% | 91800  |  2.916% | 80567  |  3.233% | 
 | 49   | Gastrodon          |  3.39620% | 76419  |  2.427% | 61801  |  2.480% | 
 | 50   | Regieleki          |  3.31914% | 186997 |  5.940% | 140760 |  5.648% | 
 | 51   | Nidoking           |  3.27467% | 119697 |  3.802% | 94909  |  3.808% | 
 | 52   | Moltres-Galar      |  3.17187% | 69411  |  2.205% | 50397  |  2.022% | 
 | 53   | Nihilego           |  3.10680% | 53138  |  1.688% | 39670  |  1.592% | 
 | 54   | Slowking           |  2.94677% | 57513  |  1.827% | 46096  |  1.849% | 
 | 55   | Swampert           |  2.82844% | 92647  |  2.943% | 81257  |  3.260% | 
 | 56   | Hatterene          |  2.81583% | 88163  |  2.801% | 73047  |  2.931% | 
 | 57   | Scizor             |  2.59921% | 111557 |  3.544% | 85236  |  3.420% | 
 | 58   | Kommo-o            |  2.42708% | 67996  |  2.160% | 51278  |  2.057% | 
 | 59   | Tangrowth          |  2.16679% | 65764  |  2.089% | 54134  |  2.172% | 
 | 60   | Chansey            |  2.01189% | 51692  |  1.642% | 39715  |  1.593% | 
 | 61   | Mamoswine          |  1.95174% | 64490  |  2.049% | 52364  |  2.101% | 
 | 62   | Azumarill          |  1.93661% | 57209  |  1.817% | 44905  |  1.802% | 
 | 63   | Cloyster           |  1.84862% | 86245  |  2.740% | 62887  |  2.523% | 
 | 64   | Arctozolt          |  1.82987% | 51681  |  1.642% | 40377  |  1.620% | 
 | 65   | Cresselia          |  1.81555% | 38285  |  1.216% | 29361  |  1.178% | 
 | 66   | Torkoal            |  1.75645% | 82537  |  2.622% | 75047  |  3.011% | 
 | 67   | Quagsire           |  1.65087% | 37006  |  1.176% | 28267  |  1.134% | 
 | 68   | Gengar             |  1.64855% | 115700 |  3.675% | 84490  |  3.390% | 
