 Total battles: 1272886
 Avg. weight/team: 0.033
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Clefable           | 36.63619% | 582731 | 22.890% | 460228 | 23.209% | 
 | 2    | Rillaboom          | 31.38505% | 544038 | 21.370% | 421680 | 21.265% | 
 | 3    | Dragapult          | 28.20072% | 640458 | 25.158% | 474747 | 23.942% | 
 | 4    | Urshifu            | 27.51911% | 481186 | 18.901% | 371617 | 18.741% | 
 | 5    | Excadrill          | 26.06079% | 539163 | 21.179% | 427932 | 21.581% | 
 | 6    | Zeraora            | 20.20398% | 476027 | 18.699% | 375082 | 18.916% | 
 | 7    | Volcarona          | 19.21863% | 472059 | 18.543% | 350499 | 17.676% | 
 | 8    | Toxapex            | 18.61152% | 388139 | 15.246% | 309780 | 15.622% | 
 | 9    | Corviknight        | 17.88233% | 374970 | 14.729% | 296382 | 14.947% | 
 | 10   | Magnezone          | 14.44894% | 242549 |  9.528% | 197059 |  9.938% | 
 | 11   | Togekiss           | 13.81446% | 354435 | 13.922% | 274376 | 13.837% | 
 | 12   | Cinderace          | 12.83021% | 180128 |  7.076% | 147710 |  7.449% | 
 | 13   | Hippowdon          | 12.69523% | 206950 |  8.129% | 178634 |  9.009% | 
 | 14   | Mandibuzz          | 12.61381% | 249246 |  9.791% | 194824 |  9.825% | 
 | 15   | Blissey            | 11.38742% | 186220 |  7.315% | 144903 |  7.308% | 
 | 16   | Amoonguss          | 10.99461% | 188753 |  7.414% | 151255 |  7.628% | 
 | 17   | Aegislash          | 10.64544% | 200875 |  7.891% | 155624 |  7.848% | 
 | 18   | Ferrothorn         | 10.55524% | 344755 | 13.542% | 294634 | 14.859% | 
 | 19   | Kommo-o            | 10.02464% | 179538 |  7.052% | 143199 |  7.222% | 
 | 20   | Tyranitar          |  9.98722% | 222614 |  8.744% | 184396 |  9.299% | 
 | 21   | Kyurem             |  9.93371% | 149768 |  5.883% | 112121 |  5.654% | 
 | 22   | Rotom-Heat         |  9.92965% | 270261 | 10.616% | 227642 | 11.480% | 
 | 23   | Skarmory           |  9.20686% | 154674 |  6.076% | 131094 |  6.611% | 
 | 24   | Primarina          |  8.87571% | 160975 |  6.323% | 127050 |  6.407% | 
 | 25   | Azumarill          |  8.40745% | 198871 |  7.812% | 155896 |  7.862% | 
 | 26   | Hawlucha           |  8.37531% | 214171 |  8.413% | 148859 |  7.507% | 
 | 27   | Urshifu-Rapid-Strike |  7.73642% | 185624 |  7.291% | 144073 |  7.266% | 
 | 28   | Tangrowth          |  7.57031% | 140803 |  5.531% | 113119 |  5.705% | 
 | 29   | Toxtricity         |  7.50827% | 195055 |  7.662% | 146085 |  7.367% | 
 | 30   | Crawdaunt          |  7.22882% | 195133 |  7.665% | 145853 |  7.355% | 
 | 31   | Mew                |  6.95962% | 169868 |  6.673% | 147773 |  7.452% | 
 | 32   | Scizor             |  6.26429% | 214168 |  8.413% | 168193 |  8.482% | 
 | 33   | Hatterene          |  6.23050% | 164960 |  6.480% | 129709 |  6.541% | 
 | 34   | Hydreigon          |  5.76696% | 178815 |  7.024% | 134507 |  6.783% | 
 | 35   | Pelipper           |  5.22085% | 147653 |  5.800% | 133594 |  6.737% | 
 | 36   | Jirachi            |  5.12512% | 86497  |  3.398% | 68197  |  3.439% | 
 | 37   | Ditto              |  5.04273% | 121082 |  4.756% | 87676  |  4.422% | 
 | 38   | Alakazam           |  4.81714% | 184896 |  7.263% | 126222 |  6.365% | 
 | 39   | Rhyperior          |  4.77189% | 70700  |  2.777% | 58024  |  2.926% | 
 | 40   | Gengar             |  4.57462% | 190634 |  7.488% | 140124 |  7.067% | 
 | 41   | Torkoal            |  3.65589% | 112525 |  4.420% | 104081 |  5.249% | 
 | 42   | Venusaur           |  3.57224% | 121142 |  4.759% | 93068  |  4.693% | 
 | 43   | Necrozma           |  3.39808% | 70593  |  2.773% | 56386  |  2.844% | 
 | 44   | Weezing-Galar      |  3.38724% | 58203  |  2.286% | 47343  |  2.388% | 
 | 45   | Bisharp            |  2.85123% | 86214  |  3.387% | 64141  |  3.235% | 
 | 46   | Kingdra            |  2.67008% | 90343  |  3.549% | 68613  |  3.460% | 
 | 47   | Mantine            |  2.64652% | 25976  |  1.020% | 20479  |  1.033% | 
 | 48   | Chansey            |  2.54105% | 69050  |  2.712% | 52141  |  2.629% | 
 | 49   | Slowbro            |  2.53671% | 74480  |  2.926% | 56815  |  2.865% | 
 | 50   | Gastrodon          |  2.37343% | 43292  |  1.701% | 34834  |  1.757% | 
 | 51   | Zarude             |  2.32968% | 42697  |  1.677% | 32093  |  1.618% | 
 | 52   | Lycanroc-Dusk      |  2.30266% | 62740  |  2.464% | 48720  |  2.457% | 
 | 53   | Darmanitan         |  2.23823% | 73968  |  2.906% | 59024  |  2.977% | 
 | 54   | Grimmsnarl         |  2.16592% | 78484  |  3.083% | 64731  |  3.264% | 
 | 55   | Cloyster           |  2.16083% | 72383  |  2.843% | 52704  |  2.658% | 
 | 56   | Seismitoad         |  2.14932% | 60229  |  2.366% | 50048  |  2.524% | 
 | 57   | Slowbro-Galar      |  2.02444% | 41274  |  1.621% | 32041  |  1.616% | 
