 Total battles: 1613455
 Avg. weight/team: 0.008
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 41.96291% | 1022864 | 31.698% | 880471 | 34.528% | 
 | 2    | Ferrothorn         | 22.43055% | 709435 | 21.985% | 611540 | 23.982% | 
 | 3    | Dragapult          | 22.07799% | 601117 | 18.628% | 455279 | 17.854% | 
 | 4    | Heatran            | 19.71040% | 535235 | 16.587% | 443378 | 17.387% | 
 | 5    | Garchomp           | 19.23938% | 550457 | 17.058% | 435323 | 17.071% | 
 | 6    | Kartana            | 18.77391% | 463506 | 14.364% | 349592 | 13.709% | 
 | 7    | Melmetal           | 18.38714% | 366215 | 11.349% | 296615 | 11.632% | 
 | 8    | Zapdos             | 18.26075% | 410831 | 12.731% | 338144 | 13.260% | 
 | 9    | Weavile            | 17.88452% | 426950 | 13.231% | 325130 | 12.750% | 
 | 10   | Tapu Lele          | 16.14333% | 335001 | 10.381% | 258079 | 10.121% | 
 | 11   | Tornadus-Therian   | 15.82738% | 302091 |  9.362% | 244212 |  9.577% | 
 | 12   | Clefable           | 15.14060% | 392565 | 12.165% | 305180 | 11.968% | 
 | 13   | Urshifu-Rapid-Strike | 15.12836% | 374350 | 11.601% | 299179 | 11.732% | 
 | 14   | Rillaboom          | 14.72122% | 426949 | 13.231% | 329147 | 12.908% | 
 | 15   | Corviknight        | 11.91511% | 387239 | 12.000% | 314928 | 12.350% | 
 | 16   | Toxapex            | 11.41131% | 343837 | 10.655% | 276988 | 10.862% | 
 | 17   | Tapu Fini          | 10.67935% | 288347 |  8.936% | 239487 |  9.392% | 
 | 18   | Slowbro            | 10.35919% | 247389 |  7.666% | 201389 |  7.898% | 
 | 19   | Tyranitar          | 10.00548% | 299626 |  9.285% | 248818 |  9.757% | 
 | 20   | Tapu Koko          |  9.81104% | 267867 |  8.301% | 217636 |  8.535% | 
 | 21   | Volcanion          |  8.13529% | 183647 |  5.691% | 149760 |  5.873% | 
 | 22   | Dragonite          |  7.62401% | 263553 |  8.167% | 196371 |  7.701% | 
 | 23   | Mew                |  7.48289% | 187877 |  5.822% | 157992 |  6.196% | 
 | 24   | Buzzwole           |  7.44247% | 209772 |  6.501% | 166569 |  6.532% | 
 | 25   | Slowking-Galar     |  7.43549% | 211496 |  6.554% | 170629 |  6.691% | 
 | 26   | Pelipper           |  7.38270% | 269343 |  8.347% | 247020 |  9.687% | 
 | 27   | Blacephalon        |  7.36661% | 224493 |  6.957% | 167250 |  6.559% | 
 | 28   | Blaziken           |  6.71848% | 174007 |  5.392% | 130801 |  5.129% | 
 | 29   | Excadrill          |  6.60746% | 187274 |  5.804% | 142219 |  5.577% | 
 | 30   | Rotom-Wash         |  5.99919% | 157089 |  4.868% | 137039 |  5.374% | 
 | 31   | Barraskewda        |  5.99029% | 236538 |  7.330% | 180592 |  7.082% | 
 | 32   | Volcarona          |  5.94124% | 261190 |  8.094% | 191702 |  7.518% | 
 | 33   | Blissey            |  5.79671% | 252848 |  7.836% | 195677 |  7.674% | 
 | 34   | Ninetales-Alola    |  5.44058% | 182962 |  5.670% | 157038 |  6.158% | 
 | 35   | Zeraora            |  5.26145% | 203799 |  6.316% | 155433 |  6.095% | 
 | 36   | Magnezone          |  5.02670% | 161715 |  5.011% | 127060 |  4.983% | 
 | 37   | Bisharp            |  4.99057% | 176064 |  5.456% | 132157 |  5.183% | 
 | 38   | Victini            |  4.95124% | 167361 |  5.186% | 134182 |  5.262% | 
 | 39   | Regieleki          |  4.78855% | 270380 |  8.379% | 202717 |  7.950% | 
 | 40   | Hawlucha           |  4.47308% | 119671 |  3.709% | 83394  |  3.270% | 
 | 41   | Aegislash          |  4.16532% | 113056 |  3.504% | 87320  |  3.424% | 
 | 42   | Seismitoad         |  4.14574% | 116342 |  3.605% | 94698  |  3.714% | 
 | 43   | Crawdaunt          |  4.07660% | 116214 |  3.601% | 86971  |  3.411% | 
 | 44   | Zapdos-Galar       |  3.85914% | 132914 |  4.119% | 103253 |  4.049% | 
 | 45   | Nidoking           |  3.83843% | 136508 |  4.230% | 108826 |  4.268% | 
 | 46   | Hippowdon          |  3.60400% | 94506  |  2.929% | 83007  |  3.255% | 
 | 47   | Celesteela         |  3.51222% | 72313  |  2.241% | 58059  |  2.277% | 
 | 48   | Gastrodon          |  3.50739% | 82089  |  2.544% | 67030  |  2.629% | 
 | 49   | Moltres-Galar      |  3.37273% | 77750  |  2.409% | 56712  |  2.224% | 
 | 50   | Mandibuzz          |  2.85807% | 67320  |  2.086% | 53764  |  2.108% | 
 | 51   | Skarmory           |  2.84705% | 76764  |  2.379% | 66201  |  2.596% | 
 | 52   | Nihilego           |  2.76701% | 60289  |  1.868% | 45299  |  1.776% | 
 | 53   | Hydreigon          |  2.54163% | 88760  |  2.751% | 68941  |  2.704% | 
 | 54   | Swampert           |  2.48306% | 100642 |  3.119% | 88497  |  3.470% | 
 | 55   | Scizor             |  2.48303% | 114878 |  3.560% | 88000  |  3.451% | 
 | 56   | Tangrowth          |  2.33155% | 59367  |  1.840% | 48783  |  1.913% | 
 | 57   | Hatterene          |  2.31402% | 94471  |  2.928% | 78754  |  3.088% | 
 | 58   | Torkoal            |  2.31088% | 105290 |  3.263% | 95928  |  3.762% | 
